Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Albania,Afghanistan,2018,Exports & Imports,,1,,0.04,,,46.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Anguila,2018,Exports & Imports,1,1,0.24,0.04,77.53,78.1,0.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,United Arab Emirates,2018,Exports & Imports,2,8,0.48,0.33,-56.54,7436.31,7492.86,0.13,0.26,2.71,0.15,27,51.85,48.15,0,0,15,0,0,51.38,674.33,2.71,0.15,27,51.85,48.15,0,0,15,0,0,51.38,674.33,
Albania,Argentina,2018,Exports & Imports,1,8,0.24,0.33,-9449.82,43.75,9493.57,0.16,0,3.71,1.49,20,70,30,0,0,10,0,0,603.68,3185.01,3.71,1.49,20,70,30,0,0,10,0,0,603.68,3185.01,
Albania,Armenia,2018,Exports & Imports,1,1,0.24,0.04,-3.65,11.63,15.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,American Samoa,2018,Exports & Imports,,1,,0.04,,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Antigua and Barbuda,2018,Exports & Imports,,1,,0.04,,,123.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Australia,2018,Exports & Imports,1,2,0.24,0.08,-133.6,1197,1330.6,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Austria,2018,Exports & Imports,10,122,2.41,5.06,-43893.06,18037.64,61930.69,1.04,0.63,0,0,335,0,100,0,0,0,0,0,119.11,13182.47,3.61,5.65,335,40.6,59.4,0,0,15,0,0,7174.72,6126.86,1
Albania,Azerbaijan,2018,Exports & Imports,1,1,0.24,0.04,5.36,14.83,9.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Belgium,2018,Exports & Imports,1,93,0.24,3.86,-30011.36,3687.97,33699.33,0.57,0.13,0.5,0.31,301,4.98,95.02,0,0,15,0,0,890,8036.07,3.9,2.84,301,48.84,51.16,0,0,15,0,0,3787.56,5138.51,1
Albania,Benin,2018,Exports & Imports,1,1,0.24,0.04,-27.75,11.51,39.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Burkina Faso,2018,Exports & Imports,,1,,0.04,,,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Bangladesh,2018,Exports & Imports,,67,,2.78,,,10438.66,0.18,,0.98,0.06,146,23.29,76.71,0,0,15,0,0,40.54,8286.57,0.98,0.06,146,23.29,76.71,0,0,15,0,0,40.54,8286.57,
Albania,Bulgaria,2018,Exports & Imports,15,156,3.61,6.47,-55415.03,27211.8,82626.83,1.39,0.95,0.07,1.14,460,2.61,97.39,0,0,10,0,0,4415.38,26955.18,3.42,4.99,460,45.65,54.35,0,0,15,0,0,25827.34,5543.22,1
Albania,Bahrain,2018,Exports & Imports,1,1,0.24,0.04,39,48.46,9.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,"Bahamas, The",2018,Exports & Imports,1,1,0.24,0.04,14.14,38.59,24.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Bosnia and Herzegovina,2018,Exports & Imports,21,16,5.06,0.66,-10697.36,12984.26,23681.62,0.4,0.45,0,0,33,0,100,0,0,0,0,0,0,1568.1,5.67,9.33,33,72.73,27.27,0,0,15,0,0,1526.6,41.49,1
Albania,Belarus,2018,Exports & Imports,1,1,0.24,0.04,-44.76,75.07,119.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Belize,2018,Exports & Imports,1,1,0.24,0.04,-1.61,7.84,9.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Bermuda,2018,Exports & Imports,,1,,0.04,,,60.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Bolivia,2018,Exports & Imports,,1,,0.04,,,26.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Brazil,2018,Exports & Imports,1,22,0.24,0.91,-39168.74,387.95,39556.69,0.67,0.01,5.68,5.51,57,75.44,24.56,0,0,15,0,0,11104.42,9070.27,5.68,5.51,57,75.44,24.56,0,0,15,0,0,11104.42,9070.27,
Albania,Barbados,2018,Exports & Imports,,1,,0.04,,,2.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Brunei,2018,Exports & Imports,,1,,0.04,,,3.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Bhutan,2018,Exports & Imports,,1,,0.04,,,2.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Central African Republic,2018,Exports & Imports,,1,,0.04,,,2.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Canada,2018,Exports & Imports,1,27,0.24,1.12,-32837.24,1150.57,33987.8,0.57,0.04,3.48,0.26,63,49.21,50.79,0,0,15,0,0,246.58,10273.32,3.48,0.26,63,49.21,50.79,0,0,15,0,0,246.58,10273.32,
Albania,Cocos (Keeling) Islands,2018,Exports & Imports,,1,,0.04,,,0.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Switzerland,2018,Exports & Imports,3,66,0.72,2.74,-67691.81,27176.3,94868.12,1.6,0.94,0,0,180,0,100,0,0,0,0,0,7.61,32097.74,3.67,0.42,180,20,80,0,0,15,0,0,1156.93,30948.42,1
Albania,Chile,2018,Exports & Imports,1,4,0.24,0.17,-319.03,91.83,410.85,0.01,0,6.5,2.06,9,100,0,0,0,15,2,0,142.26,0,6.5,2.06,9,100,0,0,0,15,2,0,142.26,0,
