Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Austria,Aruba,2018,Exports & Imports,56,2,1.31,0.04,825.28,834.44,9.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Afghanistan,2018,Exports & Imports,291,164,6.82,3.69,7479.37,7999.25,519.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Angola,2018,Exports & Imports,243,61,5.7,1.37,19434.61,21247.76,1813.15,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Anguila,2018,Exports & Imports,46,5,1.08,0.11,1004.4,1012.98,8.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Albania,2018,Exports & Imports,1011,353,23.7,7.94,32207.22,64071,31863.79,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Andorra,2018,Exports & Imports,404,85,9.47,1.91,14672.11,15673.42,1001.31,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,United Arab Emirates,2018,Exports & Imports,1583,839,37.12,18.86,539057.39,654290.11,115232.72,0.06,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Argentina,2018,Exports & Imports,894,450,20.96,10.12,64935.53,157715.59,92780.06,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Armenia,2018,Exports & Imports,581,84,13.62,1.89,15949.86,25047.74,9097.88,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,American Samoa,2018,Exports & Imports,4,8,0.09,0.18,-6.7,0.13,6.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Antigua and Barbuda,2018,Exports & Imports,28,13,0.66,0.29,1853.54,1877.35,23.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Australia,2018,Exports & Imports,1641,1216,38.48,27.34,1250852.32,1394608.99,143756.67,0.08,0.79,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Azerbaijan,2018,Exports & Imports,826,77,19.37,1.73,-373186.81,61023.89,434210.7,0.24,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
