Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Belgium,Aruba,2018,Exports & Imports,137,14,3.05,0.31,2796.5,2828.66,32.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Afghanistan,2018,Exports & Imports,293,43,6.51,0.95,41777.58,42017.5,239.92,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Angola,2018,Exports & Imports,1036,208,23.03,4.6,157203.36,621798.92,464595.56,0.1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Anguila,2018,Exports & Imports,8,3,0.18,0.07,321.02,339.73,18.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Albania,2018,Exports & Imports,750,165,16.67,3.65,34154.7,38772.44,4617.74,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Andorra,2018,Exports & Imports,519,35,11.54,0.77,13471.53,13591,119.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,United Arab Emirates,2018,Exports & Imports,2331,966,51.82,21.38,1066236.58,3965794.11,2899557.52,0.64,0.85,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Argentina,2018,Exports & Imports,1212,384,26.95,8.5,-8240.1,634032.2,642272.3,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Armenia,2018,Exports & Imports,869,114,19.32,2.52,-3620.06,57513.71,61133.77,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,American Samoa,2018,Exports & Imports,3,5,0.07,0.11,13.28,18.13,4.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Fr. So. Ant. Tr,2018,Exports & Imports,33,9,0.73,0.2,-342.32,120.2,462.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Antigua and Barbuda,2018,Exports & Imports,82,9,1.82,0.2,1670.9,1699.62,28.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Australia,2018,Exports & Imports,2300,1175,51.13,26,1199662.5,2217128.71,1017466.21,0.22,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Austria,2018,Exports & Imports,3208,2295,71.32,50.79,1861492.09,4542584.36,2681092.28,0.59,0.97,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Azerbaijan,2018,Exports & Imports,657,58,14.61,1.28,42366.39,49748.3,7381.92,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Burundi,2018,Exports & Imports,727,19,16.16,0.42,25212.35,31189.72,5977.38,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Benin,2018,Exports & Imports,811,53,18.03,1.17,103262.99,108417.37,5154.38,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bonaire,2018,Exports & Imports,121,5,2.69,0.11,-31901.82,3881.15,35782.97,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Burkina Faso,2018,Exports & Imports,1040,76,23.12,1.68,82895.82,90599.94,7704.12,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bangladesh,2018,Exports & Imports,795,445,17.67,9.85,-762034.98,274460.62,1036495.6,0.23,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bulgaria,2018,Exports & Imports,2521,1280,56.05,28.32,-275786.74,927662.52,1203449.26,0.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bahrain,2018,Exports & Imports,1029,112,22.88,2.48,-45136.42,84445,129581.42,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"Bahamas, The",2018,Exports & Imports,120,10,2.67,0.22,-3523.51,4464.04,7987.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bosnia and Herzegovina,2018,Exports & Imports,989,413,21.99,9.14,54744.28,99889.12,45144.84,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Saint Barthélemy,2018,Exports & Imports,94,26,2.09,0.58,971.67,1167.41,195.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
