Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Bulgaria,Afghanistan,2018,Exports & Imports,100,15,2.63,0.35,3895,3978.91,83.91,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Angola,2018,Exports & Imports,24,3,0.63,0.07,754.98,768.71,13.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Albania,2018,Exports & Imports,855,165,22.49,3.81,78583.48,99089.93,20506.45,0.05,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Andorra,2018,Exports & Imports,37,9,0.97,0.21,51.06,109.89,58.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,United Arab Emirates,2018,Exports & Imports,567,367,14.91,8.49,96311.15,128153.55,31842.4,0.08,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Argentina,2018,Exports & Imports,137,92,3.6,2.13,-61915.6,10182.17,72097.76,0.19,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Armenia,2018,Exports & Imports,705,43,18.54,0.99,28670.14,29103.79,433.65,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Australia,2018,Exports & Imports,372,302,9.78,6.98,-21652.19,39363.67,61015.86,0.16,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Austria,2018,Exports & Imports,1036,2378,27.25,54.98,-348571.05,597610.8,946181.85,2.49,1.77,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Azerbaijan,2018,Exports & Imports,242,10,6.37,0.23,24031.75,24612.26,580.51,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Belgium,2018,Exports & Imports,1057,2016,27.8,46.61,384704.62,1148302.64,763598.02,2.01,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Burkina Faso,2018,Exports & Imports,20,1,0.53,0.02,4595.76,4596.01,0.25,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bangladesh,2018,Exports & Imports,62,83,1.63,1.92,17171.61,21921.37,4749.75,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bahrain,2018,Exports & Imports,79,18,2.08,0.42,1818.48,5143.31,3324.83,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bosnia and Herzegovina,2018,Exports & Imports,705,169,18.54,3.91,48921.9,75150.6,26228.7,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Belarus,2018,Exports & Imports,351,306,9.23,7.08,-20282.73,40022.49,60305.22,0.16,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Belize,2018,Exports & Imports,10,4,0.26,0.09,120.88,205.41,84.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bolivia,2018,Exports & Imports,35,4,0.92,0.09,555.19,1080.52,525.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Brazil,2018,Exports & Imports,191,156,5.02,3.61,-13901.06,38695.72,52596.78,0.14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
