Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Bosnia and Herzegovina,Aruba,2018,Exports & Imports,,1,,0.02,,,0.01,0,,15,15,2,100,0,0,0,15,15,0,0.01,0,15,15,2,100,0,0,0,15,15,0,0.01,0,
Bosnia and Herzegovina,Afghanistan,2018,Exports & Imports,12,20,0.4,0.48,14375.81,14378.56,2.76,0,0.2,10.84,10.54,63,87.3,12.7,0,0,15,0,0,2.76,0,10.84,10.54,63,87.3,12.7,0,0,15,0,0,2.76,0,
Bosnia and Herzegovina,Angola,2018,Exports & Imports,1,3,0.03,0.07,37.6,42.28,4.68,0,0,6.67,0.25,4,75,25,0,0,15,0,0,0.18,4.5,6.67,0.25,4,75,25,0,0,15,0,0,0.18,4.5,
Bosnia and Herzegovina,Anguila,2018,Exports & Imports,3,2,0.1,0.05,60.55,60.63,0.08,0,0,15,15,6,100,0,0,0,15,15,0,0.08,0,15,15,6,100,0,0,0,15,15,0,0.08,0,
Bosnia and Herzegovina,Albania,2018,Exports & Imports,249,232,8.38,5.59,3102.89,21047.75,17944.85,0.15,0.29,0,0,547,0,100,0,0,0,0,0,439.23,17441.98,12.52,10.54,547,76.78,8.96,0,14.26,75.59,0,0,15684.33,2196.88,1
Bosnia and Herzegovina,Andorra,2018,Exports & Imports,1,19,0.03,0.46,-13.18,2.55,15.73,0,0,11.05,8.75,47,93.62,6.38,0,0,15,0,0,15.67,0.06,11.05,8.75,47,93.62,6.38,0,0,15,0,0,15.67,0.06,
Bosnia and Herzegovina,United Arab Emirates,2018,Exports & Imports,207,187,6.96,4.5,3881.64,15243.25,11361.62,0.1,0.21,8.19,3.39,541,80.41,17.93,0.18,1.48,66.63,0,0.01,7341.31,4011.8,8.19,3.39,541,80.41,17.93,0.18,1.48,66.63,0,0.01,7341.31,4011.8,
Bosnia and Herzegovina,Argentina,2018,Exports & Imports,7,119,0.24,2.87,-11008.12,249.25,11257.37,0.1,0,6.34,4.7,504,61.71,22.82,0,15.48,23.27,0,0,9757.87,1483.74,6.34,4.7,504,61.71,22.82,0,15.48,23.27,0,0,9757.87,1483.74,
Bosnia and Herzegovina,Armenia,2018,Exports & Imports,7,3,0.24,0.07,154.75,162.15,7.41,0,0,15,15,4,100,0,0,0,15,15,0,7.41,0,15,15,4,100,0,0,0,15,15,0,7.41,0,
Bosnia and Herzegovina,American Samoa,2018,Exports & Imports,1,24,0.03,0.58,-49.24,0.08,49.32,0,0,13.41,2.64,55,89.09,10.91,0,0,15,0,0,49.32,0,13.41,2.64,55,89.09,10.91,0,0,15,0,0,49.32,0,
Bosnia and Herzegovina,Antigua and Barbuda,2018,Exports & Imports,,3,,0.07,,,8.3,0,,3.33,2.6,22,50,50,0,0,10,0,0,8.3,0,3.33,2.6,22,50,50,0,0,10,0,0,8.3,0,
Bosnia and Herzegovina,Australia,2018,Exports & Imports,168,362,5.65,8.72,1653.4,3031.15,1377.76,0.01,0.04,8.69,8.37,1060,74.62,18.02,0.09,7.26,69.96,0,0.15,1180.56,183.23,8.69,8.37,1060,74.62,18.02,0.09,7.26,69.96,0,0.15,1180.56,183.23,
Bosnia and Herzegovina,Austria,2018,Exports & Imports,1079,2201,36.31,53.01,209644.89,615895.22,406250.33,3.49,8.58,0.2,0.17,5086,0.79,96.74,0.18,2.3,170.12,0,66.62,12819.84,384272.46,7.55,8.5,5086,71.16,21.57,1.4,5.88,330.33,0,3625.9,346459.44,50632.86,1
Bosnia and Herzegovina,Azerbaijan,2018,Exports & Imports,10,3,0.34,0.07,355.14,394.28,39.15,0,0.01,3.26,4.93,25,48,52,0,0,10,0,0,38.63,0.52,3.26,4.93,25,48,52,0,0,10,0,0,38.63,0.52,
Bosnia and Herzegovina,Belgium,2018,Exports & Imports,358,1210,12.05,29.14,-61707.78,36194.03,97901.81,0.84,0.5,0.28,0.44,3141,0.96,97.96,0.06,1.02,170.12,0,10.25,3053.2,86515.95,7.3,8.83,3141,70.46,25.69,0.1,3.76,330.33,0,403.73,79100.53,10468.62,1
Bosnia and Herzegovina,Benin,2018,Exports & Imports,1,1,0.03,0.02,-2.87,2.28,5.16,0,0,0,0,1,0,100,0,0,0,0,0,0,5.16,0,0,1,0,100,0,0,0,0,0,0,5.16,
Bosnia and Herzegovina,Burkina Faso,2018,Exports & Imports,16,4,0.54,0.1,16.43,46.28,29.85,0,0,1.67,0.02,16,18.75,81.25,0,0,10,0,0,0.08,29.78,1.67,0.02,16,18.75,81.25,0,0,10,0,0,0.08,29.78,
