Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Belarus,Afghanistan,2018,Exports & Imports,55,1,1.47,0.02,33171.7,33488.6,316.9,0,0.1,0,0,3,0,100,0,0,0,0,0,0,316.9,3.33,3.33,3,66.67,33.33,0,0,5,0,0,316.9,0,1
Belarus,Anguila,2018,Exports & Imports,,7,,0.17,,,0.8,0,,7.63,7.28,18,83.33,11.11,0,5.56,15,0,0,0.7,0.1,7.86,7.69,18,83.33,11.11,0,5.56,15,0,0,0.7,0.1,1
Belarus,Albania,2018,Exports & Imports,14,104,0.37,2.47,-565.9,94.1,660,0,0,6.37,5.27,222,16.67,2.25,0,81.08,17.5,0,0,615.8,25.9,6.52,5.6,222,16.67,2.25,0,81.08,17.5,0,0,615.8,25.9,1
Belarus,Andorra,2018,Exports & Imports,1,11,0.03,0.26,147.6,188.8,41.2,0,0,0.5,1.71,48,8.33,91.67,0,0,8,0,0,14.3,26.9,0.5,1.71,48,8.33,91.67,0,0,8,0,0,14.3,26.9,
Belarus,United Arab Emirates,2018,Exports & Imports,219,121,5.85,2.87,35685.5,49784.8,14099.3,0.04,0.15,6.03,6.46,474,58.65,23,0,18.35,15.68,0,0,13989.7,59.4,6.12,6.55,474,58.65,23,0,18.35,15.68,0,0,13989.7,59.4,1
Belarus,Argentina,2018,Exports & Imports,50,90,1.34,2.13,-70098.4,31151.9,101250.3,0.26,0.09,4.35,0.76,506,71.94,24.51,0,3.56,48.75,0,0,13785.3,87360.2,4.83,0.89,506,71.94,24.51,0,3.56,65,0,0,13785.3,87360.2,1
Belarus,Armenia,2018,Exports & Imports,665,100,17.78,2.37,28301.7,37390.7,9089,0.02,0.11,0,0,531,0,100,0,0,0,0,0,324.3,8310.6,7.55,5.22,531,67.04,15.07,0.19,17.7,103.38,0,4.9,8535,99.9,1
Belarus,American Samoa,2018,Exports & Imports,,1,,0.02,,,5,0,,5,5,4,100,0,0,0,5,5,0,5,0,5,5,4,100,0,0,0,5,5,0,5,0,
Belarus,Antigua and Barbuda,2018,Exports & Imports,,4,,0.09,,,2.9,0,,3.18,2.59,17,41.18,58.82,0,0,10,0,0,2.5,0.4,3.18,2.59,17,41.18,58.82,0,0,10,0,0,2.5,0.4,1
Belarus,Australia,2018,Exports & Imports,132,216,3.53,5.12,23152.8,31214.7,8061.9,0.02,0.09,5.02,4.9,952,60.92,29.52,0.11,9.45,15,0,0.2,7410.3,637.6,5.02,4.9,952,60.92,29.52,0.11,9.45,15,0,0.2,7410.3,637.6,
Belarus,Austria,2018,Exports & Imports,143,1101,3.82,26.11,-116631.4,26376.7,143008.1,0.37,0.08,5.82,4.62,3445,64.3,24.09,0.93,10.68,113.53,0,8098.2,96279,33401,5.82,4.62,3445,64.3,24.09,0.93,10.68,113.53,0,8098.2,96279,33401,
Belarus,Azerbaijan,2018,Exports & Imports,687,71,18.36,1.68,213387,227737,14350,0.04,0.68,0,0,366,0,100,0,0,0,0,0,1169.2,12985.1,8.41,3.83,366,70.22,12.84,0.27,16.67,103.38,0,18,10308.3,3846,2
Belarus,Burundi,2018,Exports & Imports,2,4,0.05,0.09,-48.8,5.2,54,0,0,8.75,0.27,15,73.33,26.67,0,0,15,0,0,1.2,52.8,8.75,0.27,15,73.33,26.67,0,0,15,0,0,1.2,52.8,1
Belarus,Belgium,2018,Exports & Imports,203,1141,5.43,27.06,-45396.1,179487,224883.1,0.59,0.53,5.91,4.91,3330,64.5,23.09,0.33,12.07,65,0,15470.6,180230.4,27244,5.91,4.91,3330,64.5,23.09,0.33,12.07,65,0,15470.6,180230.4,27244,
Belarus,Bangladesh,2018,Exports & Imports,29,193,0.78,4.58,24555.3,83580.4,59025.1,0.15,0.25,6.37,2.71,398,19.1,20.6,0,60.3,17.5,0,0,23270.3,35594.5,7.79,5.79,398,33.42,2.01,0,64.57,17.5,0,0,46747.5,12117.3,1
Belarus,Bulgaria,2018,Exports & Imports,341,668,9.12,15.84,25012.8,62787.9,37775.1,0.1,0.19,5.86,4.6,2002,58.64,23.18,0.15,18.03,17.5,0,157.6,28083,6854.8,5.86,4.6,2002,58.64,23.18,0.15,18.03,17.5,0,157.6,28083,6854.8,
Belarus,Bahrain,2018,Exports & Imports,18,11,0.48,0.26,135.8,171.7,35.9,0,0,7.03,5.98,25,32,4,0,64,10,0,0,35.9,0,7.03,5.98,25,32,4,0,64,10,0,0,35.9,0,1
Belarus,"Bahamas, The",2018,Exports & Imports,,2,,0.05,,,117.1,0,,8.63,13.48,11,36.36,0,0,63.64,13.5,3.75,0,117.1,0,9.25,13.48,11,36.36,0,0,63.64,13.5,5,0,117.1,0,1
Belarus,Bosnia and Herzegovina,2018,Exports & Imports,99,93,2.65,2.21,2962.4,7704.8,4742.4,0.01,0.02,5.86,1.22,291,34.02,17.53,0,48.45,15,0,0,1467.5,3274.9,5.93,1.22,291,34.02,17.53,0,48.45,15,0,0,1467.5,3274.9,1
Belarus,Saint Barthélemy,2018,Exports & Imports,,4,,0.09,,,7.5,0,,2.65,5.37,19,47.37,47.37,0,5.26,8,0,0,7.4,0.1,2.65,5.37,19,47.37,47.37,0,5.26,8,0,0,7.4,0.1,
Belarus,Bermuda,2018,Exports & Imports,,1,,0.02,,,1.4,0,,13.5,13.5,6,0,0,0,100,13.5,13.5,0,1.4,0,13.5,13.5,6,0,0,0,100,13.5,13.5,0,1.4,0,1
Belarus,Bolivia,2018,Exports & Imports,3,3,0.08,0.07,-1087.4,2.5,1089.9,0,0,3.75,3.75,6,100,0,0,0,3.75,3.75,0,1089.9,0,5,5,6,100,0,0,0,5,5,0,1089.9,0,1
Belarus,Brazil,2018,Exports & Imports,48,376,1.28,8.92,564336.1,585291.2,20955.1,0.05,1.74,5.07,4.22,1348,58.68,27.23,0,14.09,34.95,0,0,17723.9,2771.6,5.29,4.47,1348,58.68,27.23,0,14.09,34.95,0,0,17723.9,2771.6,1
Belarus,Barbados,2018,Exports & Imports,4,4,0.11,0.09,-29.8,0.8,30.6,0,0,6.64,12.11,21,0,4.76,0,95.24,13.5,0,0,29.4,1.2,6.64,12.11,21,0,4.76,0,95.24,13.5,0,0,29.4,1.2,1
Belarus,Central African Republic,2018,Exports & Imports,1,1,0.03,0.02,183.8,200.5,16.7,0,0,3.33,3.33,3,66.67,33.33,0,0,5,0,0,16.7,0,3.33,3.33,3,66.67,33.33,0,0,5,0,0,16.7,0,1
Belarus,Canada,2018,Exports & Imports,299,548,7.99,12.99,-2373.2,22279.1,24652.3,0.06,0.07,5.09,4.56,1845,60.05,30.3,0.6,9.05,38.63,0,204.7,18592.5,5193.8,5.09,4.56,1845,60.05,30.3,0.6,9.05,38.63,0,204.7,18592.5,5193.8,
