Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Switzerland,Aruba,2018,Exports & Imports,187,5,4.33,0.11,11340.03,11666.97,326.93,0,0,1.56,1.41,6,0,0,0,100,3.17,0.05,0,326.93,0,1.56,1.41,6,0,0,0,100,3.17,0.05,0,326.93,0,
Switzerland,Afghanistan,2018,Exports & Imports,153,123,3.54,2.72,-3727.42,2648.38,6375.81,0,0,0,0,178,0,100,0,0,0,0,0,0,6371.41,7.13,1.01,178,0,17.98,0,82.02,34.79,0,0,6054.69,316.72,2
Switzerland,Angola,2018,Exports & Imports,313,14,7.24,0.31,21124.07,22196.32,1072.25,0,0.01,0,0,20,0,100,0,0,0,0,0,0,1072.25,7.6,0.82,20,0,25,0,75,25.78,0,0,732.65,339.6,2
Switzerland,Anguila,2018,Exports & Imports,2,4,0.05,0.09,7.61,272.49,264.88,0,0,0,0,4,0,100,0,0,0,0,0,0,264.88,0,0,4,0,100,0,0,0,0,0,0,264.88,1
Switzerland,Albania,2018,Exports & Imports,515,406,11.92,8.99,32665.65,50835.76,18170.12,0.01,0.02,8.3,0.54,705,0,86.81,0,13.19,3000,0,0,194.71,17335.11,15.26,9.07,705,0,13.33,0.14,86.52,3000,0,1.66,15783.76,1746.07,1
Switzerland,Andorra,2018,Exports & Imports,237,109,5.48,2.41,5966.05,6549,582.95,0,0,1.28,0.41,182,0,92.31,0,7.69,182.61,0,0,9.4,427.11,5.93,1.87,182,0,26.92,0,73.08,182.61,0,0,217.01,219.51,1
Switzerland,United Arab Emirates,2018,Exports & Imports,1790,1044,41.42,23.12,-5420341.34,4930581.51,10350922.86,3.71,1.59,3.49,0,1767,0,89.25,0,10.75,3000,0,0,470.59,10348977.34,9.28,1.38,1767,0,15.96,0.06,83.98,3000,0,1.86,6910681.78,3438766.15,1
Switzerland,Argentina,2018,Exports & Imports,1105,526,25.57,11.65,-522093.37,852360.98,1374454.35,0.49,0.27,6.12,3.56,1173,0,62.57,0,37.43,3000,0,0,60179.51,1314130.95,14.92,3.64,1173,0,16.71,0,83.29,3000,0,0,135449.24,1238861.22,1
Switzerland,Armenia,2018,Exports & Imports,456,169,10.55,3.74,-65310.73,132786.83,198097.55,0.07,0.04,9.19,0.44,402,0,52.99,0,47.01,3000,0,0,2343.18,195754.38,13.37,0.66,402,0,10.45,0.25,89.3,3000,0,20897.92,32280.73,165816.83,1
Switzerland,American Samoa,2018,Exports & Imports,1,5,0.02,0.11,42.04,48.05,6.01,0,0,5.07,3.09,5,0,40,0,60,18.47,0,0,2.3,3.71,5.07,3.09,5,0,40,0,60,18.47,0,0,2.3,3.71,
Switzerland,Antigua and Barbuda,2018,Exports & Imports,58,7,1.34,0.16,1728.37,1775.72,47.35,0,0,0.49,0.05,13,0,61.54,0,38.46,8.93,0,0,0.67,46.68,1.42,0.52,13,0,23.08,0,76.92,8.93,0,0,37.16,10.2,1
Switzerland,Australia,2018,Exports & Imports,1892,1368,43.78,30.3,1668330.63,2807463.87,1139133.25,0.41,0.9,7.81,6.45,2452,0,17.01,0.04,82.95,3000,0,19,405971.16,723296.12,7.81,6.45,2452,0,17.01,0.04,82.95,3000,0,19,405971.16,723296.12,
Switzerland,Austria,2018,Exports & Imports,3128,3568,72.37,79.03,-849041.43,7631129.3,8480170.73,3.04,2.46,6.25,1.72,6568,0,78.61,0.03,21.36,3000,0,33.86,477055.9,7653094.94,10.77,4.13,6568,0,16.92,0.05,83.04,3000,0,34.3,4609723.91,3520426.93,1
Switzerland,Azerbaijan,2018,Exports & Imports,594,92,13.74,2.04,-76877.84,82566.17,159444.01,0.06,0.03,3.32,0.01,200,0,58,0,42,139.7,0,0,1613.71,156536.57,6.69,0.06,200,0,18,0,82,139.7,0,0,9444.85,148705.43,1
Switzerland,Burundi,2018,Exports & Imports,49,2,1.13,0.04,583.38,751.27,167.89,0,0,0,0,2,0,100,0,0,0,0,0,0,167.89,2.3,0.02,2,0,50,0,50,4.6,0,0,0.66,167.23,2
Switzerland,Belgium,2018,Exports & Imports,2547,3428,58.93,75.92,-686578.7,4487822.49,5174401.19,1.86,1.45,5.3,1.94,6181,0,79.16,0,20.84,3000,0,0,609071.76,4229568.4,9.71,3.34,6181,0,18.98,0.02,81.01,3000,0,7.12,3360153.87,1478486.29,1
Switzerland,Benin,2018,Exports & Imports,182,21,4.21,0.47,3294.45,5004.9,1710.45,0,0,0,0,39,0,100,0,0,0,0,0,0,1710.45,7.62,2.52,39,0,25.64,0,74.36,52.41,0,0,205.74,1504.71,2
Switzerland,Burkina Faso,2018,Exports & Imports,180,59,4.16,1.31,-1501693.9,3720.95,1505414.85,0.54,0,0,0,181,0,100,0,0,0,0,0,0,1505413.86,8.38,0,181,0,18.78,0,81.22,968.05,0,0,1033.64,1504380.21,2
Switzerland,Bangladesh,2018,Exports & Imports,642,704,14.85,15.59,-456702.91,136680.39,593383.3,0.21,0.04,0,0,1093,0,100,0,0,0,0,0,0,593380.5,9.46,10.86,1093,0,11.07,0,88.93,968.05,0,0,588852.93,4527.57,2
Switzerland,Bulgaria,2018,Exports & Imports,1501,1380,34.73,30.56,96969.4,426593.39,329623.99,0.12,0.14,3.68,1.14,2554,0,84.03,0,15.97,3000,0,0,10139.98,316424.55,9.37,7.3,2554,0,14.96,0,85.04,3000,0,0,281500.61,45063.92,1
Switzerland,Bahrain,2018,Exports & Imports,820,761,18.97,16.85,227903.81,284112.68,56208.88,0.02,0.09,3.88,6.05,1190,0,98.4,0,1.6,3000,0,0,1041.58,55163.43,10.46,9.81,1190,0,14.79,0,85.21,3000,0,0,55699.56,505.46,1
