Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Cyprus,Afghanistan,2018,Exports & Imports,2,1,0.12,0.03,-363.84,418.48,782.32,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Angola,2018,Exports & Imports,20,4,1.2,0.1,153.26,154.5,1.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Albania,2018,Exports & Imports,27,16,1.61,0.42,1784.82,1945.01,160.19,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Andorra,2018,Exports & Imports,1,11,0.06,0.29,-2.32,0.41,2.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,United Arab Emirates,2018,Exports & Imports,247,516,14.77,13.48,2750.33,40026.15,37275.82,0.34,0.79,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Argentina,2018,Exports & Imports,7,22,0.42,0.57,-41146.3,46.6,41192.9,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Armenia,2018,Exports & Imports,30,4,1.79,0.1,745.04,763.64,18.6,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Antigua and Barbuda,2018,Exports & Imports,13,1,0.78,0.03,-725.6,2054.26,2779.85,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Australia,2018,Exports & Imports,179,328,10.71,8.57,18846.61,23073.48,4226.87,0.04,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Austria,2018,Exports & Imports,49,861,2.93,22.5,-31316.48,21769.36,53085.84,0.49,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Azerbaijan,2018,Exports & Imports,29,1,1.73,0.03,793.35,793.7,0.35,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Belgium,2018,Exports & Imports,47,1559,2.81,40.74,-180899.36,14213.23,195112.59,1.8,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bangladesh,2018,Exports & Imports,25,63,1.5,1.65,-4677.98,684.37,5362.35,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bulgaria,2018,Exports & Imports,55,689,3.29,18,-91377.2,30763.27,122140.46,1.13,0.61,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bahrain,2018,Exports & Imports,75,40,4.49,1.05,11551.89,12060.15,508.27,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Bahamas, The",2018,Exports & Imports,5,1,0.3,0.03,35.53,35.81,0.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bosnia and Herzegovina,2018,Exports & Imports,8,13,0.48,0.34,-12952.83,1048.04,14000.87,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Saint Barthélemy,2018,Exports & Imports,,1,,0.03,,,12.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Belarus,2018,Exports & Imports,13,44,0.78,1.15,553.56,895.81,342.25,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Belize,2018,Exports & Imports,1,3,0.06,0.08,-16100.22,10.1,16110.32,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bermuda,2018,Exports & Imports,1,2,0.06,0.05,-906.28,0.95,907.23,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bolivia,2018,Exports & Imports,2,1,0.12,0.03,-21.56,9.8,31.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Brazil,2018,Exports & Imports,53,143,3.17,3.74,-16177.45,1325.75,17503.2,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Barbados,2018,Exports & Imports,11,5,0.66,0.13,-17761.06,517.8,18278.86,0.17,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Brunei,2018,Exports & Imports,13,1,0.78,0.03,108.07,108.19,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Central African Republic,2018,Exports & Imports,8,1,0.48,0.03,-4.73,41.02,45.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Canada,2018,Exports & Imports,122,360,7.3,9.41,-8763.6,5254.03,14017.63,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cocos (Keeling) Islands,2018,Exports & Imports,,1,,0.03,,,4.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Switzerland,2018,Exports & Imports,122,681,7.3,17.79,-35703.23,21486.88,57190.11,0.53,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Chile,2018,Exports & Imports,18,34,1.08,0.89,-4688.6,559.06,5247.66,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,China,2018,Exports & Imports,177,2044,10.59,53.41,-383638.28,76225,459863.27,4.25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cote d'Ivoire,2018,Exports & Imports,9,3,0.54,0.08,-51.48,566.31,617.8,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cameroon,2018,Exports & Imports,13,5,0.78,0.13,-585.4,133.43,718.82,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Congo, Rep.",2018,Exports & Imports,13,2,0.78,0.05,93.53,130.05,36.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Colombia,2018,Exports & Imports,23,27,1.38,0.71,-1308.46,313.3,1621.76,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cape Verde,2018,Exports & Imports,1,1,0.06,0.03,-0.72,0.58,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Costa Rica,2018,Exports & Imports,6,6,0.36,0.16,-107.34,17.67,125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cuba,2018,Exports & Imports,2,4,0.12,0.1,-39241.74,5.51,39247.24,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cayman Islands,2018,Exports & Imports,5,2,0.3,0.05,392623.38,753482.57,360859.19,3.34,14.88,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Czech Republic,2018,Exports & Imports,37,806,2.21,21.06,-26894.48,29894.39,56788.87,0.53,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Germany,2018,Exports & Imports,268,2607,16.03,68.12,-431468.72,153452.19,584920.9,5.41,3.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Dominica,2018,Exports & Imports,10,1,0.6,0.03,231.05,231.14,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Denmark,2018,Exports & Imports,45,815,2.69,21.3,-59940.33,17204.49,77144.81,0.71,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Dominican Republic,2018,Exports & Imports,14,5,0.84,0.13,-293.54,72.7,366.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Algeria,2018,Exports & Imports,28,5,1.67,0.13,24383.94,43787.96,19404.03,0.18,0.86,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,East Asia & Pacific,2018,Exports & Imports,450,2278,26.91,59.52,-1284992.81,560052.34,1845045.15,17.06,11.06,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Europe & Central Asia,2018,Exports & Imports,1288,3707,77.03,96.86,-5077758.3,1584806.47,6662564.77,61.62,31.29,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Ecuador,2018,Exports & Imports,6,10,0.36,0.26,-3828.67,91.77,3920.45,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Egypt, Arab Rep.",2018,Exports & Imports,139,343,8.31,8.96,156234.83,193108.54,36873.71,0.34,3.81,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Spain,2018,Exports & Imports,86,1692,5.14,44.21,-499784.09,12829.06,512613.15,4.74,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Estonia,2018,Exports & Imports,23,70,1.38,1.83,-2959.13,7001.71,9960.84,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Ethiopia(excludes Eritrea),2018,Exports & Imports,13,4,0.78,0.1,4775.25,5527.15,751.89,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Finland,2018,Exports & Imports,36,159,2.15,4.15,-17062.76,9692.82,26755.57,0.25,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Fiji,2018,Exports & Imports,7,1,0.42,0.03,110.72,110.92,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Falkland Island,2018,Exports & Imports,,2,,0.05,,,166.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,France,2018,Exports & Imports,119,1621,7.12,42.36,-183888.51,37040.71,220929.22,2.04,0.73,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Faeroe Islands,2018,Exports & Imports,1,1,0.06,0.03,1468.24,1606.28,138.04,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Gabon,2018,Exports & Imports,12,3,0.72,0.08,-14.01,90.55,104.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,United Kingdom,2018,Exports & Imports,505,2319,30.2,60.6,-510599.74,201084.15,711683.88,6.58,3.97,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Georgia,2018,Exports & Imports,36,15,2.15,0.39,635.63,984.52,348.89,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Ghana,2018,Exports & Imports,31,13,1.85,0.34,743.57,833.12,89.56,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Gibraltar,2018,Exports & Imports,6,2,0.36,0.05,20264.61,20268.19,3.58,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Guinea,2018,Exports & Imports,20,1,1.2,0.03,498.84,499.34,0.5,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Equatorial Guinea,2018,Exports & Imports,7,1,0.42,0.03,47.33,47.55,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Greece,2018,Exports & Imports,856,2885,51.2,75.39,-1589100.22,332811.4,1921911.61,17.77,6.57,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Guatemala,2018,Exports & Imports,2,1,0.12,0.03,16.4,16.66,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Hong Kong, China",2018,Exports & Imports,218,721,13.04,18.84,-45663.35,165452.06,211115.41,1.95,3.27,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Honduras,2018,Exports & Imports,4,16,0.24,0.42,-91.82,5.36,97.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Croatia,2018,Exports & Imports,35,41,2.09,1.07,44.13,4881.09,4836.97,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Haiti,2018,Exports & Imports,1,1,0.06,0.03,11.34,11.4,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Hungary,2018,Exports & Imports,47,265,2.81,6.92,-29652.69,2034.62,31687.31,0.29,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Indonesia,2018,Exports & Imports,28,192,1.67,5.02,-10719.77,2125.97,12845.74,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,India,2018,Exports & Imports,84,773,5.02,20.2,-53195.84,15419.01,68614.85,0.63,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Ireland,2018,Exports & Imports,44,306,2.63,8,111744.19,135925.01,24180.82,0.22,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Iran, Islamic Rep.",2018,Exports & Imports,37,23,2.21,0.6,5512.56,5951.89,439.33,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Iraq,2018,Exports & Imports,39,10,2.33,0.26,12849.16,12858.15,8.99,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Iceland,2018,Exports & Imports,12,5,0.72,0.13,126.03,140.22,14.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Israel,2018,Exports & Imports,263,694,15.73,18.13,-500814.09,109327.93,610142.02,5.64,2.16,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Italy,2018,Exports & Imports,249,2412,14.89,63.03,-868087.63,26269.88,894357.51,8.27,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Jamaica,2018,Exports & Imports,2,2,0.12,0.05,155.79,156.2,0.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Jordan,2018,Exports & Imports,101,129,6.04,3.37,34112.02,35929.87,1817.85,0.02,0.71,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Japan,2018,Exports & Imports,125,538,7.48,14.06,-90941.95,681.94,91623.88,0.85,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Kazakhstan,2018,Exports & Imports,30,2,1.79,0.05,967.55,972.95,5.4,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Kenya,2018,Exports & Imports,41,11,2.45,0.29,-1284.02,2284.35,3568.37,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Cambodia,2018,Exports & Imports,42,9,2.51,0.24,-43.41,1042.86,1086.27,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Korea, Rep.",2018,Exports & Imports,137,404,8.19,10.56,-748117.75,7941.69,756059.45,6.99,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Kuwait,2018,Exports & Imports,111,20,6.64,0.52,4037.08,6766.39,2729.31,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Lebanon,2018,Exports & Imports,231,413,13.82,10.79,132163.2,146485.99,14322.8,0.13,2.89,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Liberia,2018,Exports & Imports,19,5,1.14,0.13,48186.9,84052.94,35866.05,0.33,1.66,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Libya,2018,Exports & Imports,46,6,2.75,0.16,436793.29,456696.91,19903.61,0.18,9.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Latin America & Caribbean,2018,Exports & Imports,149,345,8.91,9.01,90876.92,794194.3,703317.38,6.5,15.68,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Sri Lanka,2018,Exports & Imports,28,149,1.67,3.89,2549.6,3865.61,1316.02,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Lithuania,2018,Exports & Imports,27,169,1.61,4.42,-5959.51,7148.72,13108.23,0.12,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Luxembourg,2018,Exports & Imports,7,71,0.42,1.86,-5066,573.64,5639.64,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Latvia,2018,Exports & Imports,28,77,1.67,2.01,-1726.99,3765.47,5492.46,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Macao,2018,Exports & Imports,34,11,2.03,0.29,94.31,104.45,10.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Morocco,2018,Exports & Imports,57,44,3.41,1.15,13758.2,15781.54,2023.34,0.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Moldova,2018,Exports & Imports,18,51,1.08,1.33,-25924.33,792.43,26716.76,0.25,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Madagascar,2018,Exports & Imports,12,5,0.72,0.13,-102.71,72.81,175.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Maldives,2018,Exports & Imports,13,1,0.78,0.03,1002.15,1003.12,0.97,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Middle East & North Africa,2018,Exports & Imports,810,1344,48.45,35.12,359752.48,1150817.47,791064.99,7.32,22.72,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mexico,2018,Exports & Imports,49,145,2.93,3.79,8488.74,15195.66,6706.91,0.06,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Marshall Islands,2018,Exports & Imports,3,1,0.18,0.03,16195.48,161083.25,144887.77,1.34,3.18,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,North Macedonia,2018,Exports & Imports,12,33,0.72,0.86,1932.54,2946.08,1013.55,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mali,2018,Exports & Imports,6,2,0.36,0.05,21,43.99,22.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Malta,2018,Exports & Imports,142,74,8.49,1.93,1808,17750,15942,0.15,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Myanmar,2018,Exports & Imports,14,10,0.84,0.26,1621.13,1748.5,127.37,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mongolia,2018,Exports & Imports,10,1,0.6,0.03,434.76,434.79,0.03,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Montenegro,2018,Exports & Imports,16,3,0.96,0.08,1247.1,1276.88,29.78,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mauritania,2018,Exports & Imports,38,5,2.27,0.13,-190.86,74.52,265.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Mauritius,2018,Exports & Imports,34,5,2.03,0.13,2348.48,2394.57,46.09,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Malawi,2018,Exports & Imports,10,3,0.6,0.08,430.69,531.54,100.85,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Malaysia,2018,Exports & Imports,65,287,3.89,7.5,-6905.8,5063.35,11969.16,0.11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,North America,2018,Exports & Imports,390,1554,23.33,40.61,-9538.88,105731.06,115269.94,1.07,2.09,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Namibia,2018,Exports & Imports,7,3,0.42,0.08,19721.38,21525.92,1804.54,0.02,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Nigeria,2018,Exports & Imports,69,26,4.13,0.68,443.03,1456.68,1013.65,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Nicaragua,2018,Exports & Imports,1,12,0.06,0.31,-388.41,1.31,389.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Netherlands,2018,Exports & Imports,143,1757,8.55,45.91,-323111.52,33503.23,356614.75,3.3,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Norway,2018,Exports & Imports,92,119,5.5,3.11,240620.31,277513.66,36893.35,0.34,5.48,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Nepal,2018,Exports & Imports,5,20,0.3,0.52,188.51,213.15,24.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,New Zealand,2018,Exports & Imports,30,68,1.79,1.78,-9765.61,2391.84,12157.45,0.11,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Other Asia, nes",2018,Exports & Imports,74,612,4.43,15.99,-24759.56,4262.62,29022.18,0.27,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Oman,2018,Exports & Imports,83,22,4.96,0.57,5569.93,5846.51,276.59,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Pakistan,2018,Exports & Imports,36,175,2.15,4.57,-2252.01,3877.31,6129.32,0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Panama,2018,Exports & Imports,20,13,1.2,0.34,-177678.86,8031.84,185710.71,1.72,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Peru,2018,Exports & Imports,15,16,0.9,0.42,-594.26,208.76,803.02,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Philippines,2018,Exports & Imports,38,151,2.27,3.95,-26147.23,2000.38,28147.61,0.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Poland,2018,Exports & Imports,46,1060,2.75,27.7,-58491.24,9172.54,67663.78,0.63,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Korea, Dem. Rep.",2018,Exports & Imports,24,2,1.44,0.05,292.35,298.96,6.61,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Portugal,2018,Exports & Imports,42,432,2.51,11.29,-28479.17,2643.74,31122.9,0.29,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Paraguay,2018,Exports & Imports,7,1,0.42,0.03,-236.84,39.07,275.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Occ.Pal.Terr,2018,Exports & Imports,1,9,0.06,0.24,51.45,65.96,14.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Qatar,2018,Exports & Imports,133,71,7.95,1.86,3458.01,6891.95,3433.94,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Romania,2018,Exports & Imports,77,334,4.61,8.73,-46612.52,22781.49,69394.01,0.64,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Russian Federation,2018,Exports & Imports,143,390,8.55,10.19,-111083.52,24917.71,136001.23,1.26,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,South Asia,2018,Exports & Imports,127,929,7.6,24.27,-56749.4,25481.06,82230.46,0.76,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Saudi Arabia,2018,Exports & Imports,153,65,9.15,1.7,23345.49,35015.21,11669.72,0.11,0.69,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Senegal,2018,Exports & Imports,9,9,0.54,0.24,-1576.91,197.78,1774.69,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Serbia, FR(Serbia/Montenegro)",2018,Exports & Imports,40,167,2.39,4.36,-15298.61,5302.15,20600.76,0.19,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Singapore,2018,Exports & Imports,144,278,8.61,7.26,35676.14,77183.83,41507.69,0.38,1.52,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Solomon Islands,2018,Exports & Imports,1,1,0.06,0.03,-6.73,0.27,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,San Marino,2018,Exports & Imports,1,17,0.06,0.44,-122.05,16.97,139.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Sub-Saharan Africa,2018,Exports & Imports,245,309,14.65,8.07,84296.01,141716.06,57420.05,0.53,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Sudan,2018,Exports & Imports,24,3,1.44,0.08,6097.63,6103.36,5.73,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Suriname,2018,Exports & Imports,,2,,0.05,,,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Slovak Republic,2018,Exports & Imports,22,82,1.32,2.14,35928.25,52012.41,16084.15,0.15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
