Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Czech Republic,Aruba,2018,Exports & Imports,15,9,0.34,0.2,61.11,62.28,1.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Afghanistan,2018,Exports & Imports,88,49,2.01,1.09,16921.89,17081.27,159.39,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Angola,2018,Exports & Imports,119,1,2.72,0.02,3876.54,3876.58,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Anguila,2018,Exports & Imports,64,6,1.46,0.13,47.98,136.63,88.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Albania,2018,Exports & Imports,701,230,16,5.1,15275.01,63098.61,47823.6,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Andorra,2018,Exports & Imports,140,53,3.19,1.18,2553.81,2809.72,255.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,United Arab Emirates,2018,Exports & Imports,1327,575,30.28,12.75,625917.83,731372.52,105454.69,0.06,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Argentina,2018,Exports & Imports,564,301,12.87,6.67,-8901.43,75840.76,84742.18,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Armenia,2018,Exports & Imports,803,105,18.32,2.33,68360.32,72811.62,4451.29,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,American Samoa,2018,Exports & Imports,,11,,0.24,,,27.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Fr. So. Ant. Tr,2018,Exports & Imports,30,21,0.68,0.47,-48.27,200.6,248.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Antigua and Barbuda,2018,Exports & Imports,2,31,0.05,0.69,-104.24,24.7,128.93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Australia,2018,Exports & Imports,1317,910,30.05,20.18,247501.61,437573.89,190072.28,0.1,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Austria,2018,Exports & Imports,3238,3276,73.89,72.64,3609760.62,9022427.93,5412667.31,2.93,4.46,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Azerbaijan,2018,Exports & Imports,659,59,15.04,1.31,-1147563.32,74394.46,1221957.77,0.66,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Burundi,2018,Exports & Imports,6,20,0.14,0.44,207.67,256.08,48.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Belgium,2018,Exports & Imports,2537,2935,57.9,65.08,1462610.88,4333007.57,2870396.7,1.55,2.14,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Benin,2018,Exports & Imports,67,6,1.53,0.13,2001.7,2096.05,94.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bonaire,2018,Exports & Imports,3,1,0.07,0.02,35.87,36.22,0.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Burkina Faso,2018,Exports & Imports,76,18,1.73,0.4,3277.78,3680.67,402.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bangladesh,2018,Exports & Imports,347,485,7.92,10.75,-515099.92,53892.15,568992.07,0.31,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bulgaria,2018,Exports & Imports,2338,1378,53.35,30.55,206664.52,999177.44,792512.92,0.43,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bahrain,2018,Exports & Imports,406,126,9.27,2.79,16009.9,33570.15,17560.25,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"Bahamas, The",2018,Exports & Imports,12,16,0.27,0.35,-190.71,78.86,269.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bosnia and Herzegovina,2018,Exports & Imports,1417,466,32.34,10.33,34894.12,174995.89,140101.78,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Saint Barthélemy,2018,Exports & Imports,10,14,0.23,0.31,-75.13,31.93,107.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Belarus,2018,Exports & Imports,1384,580,31.58,12.86,160482.68,327693.34,167210.66,0.09,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Belize,2018,Exports & Imports,107,32,2.44,0.71,195.76,517,321.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bermuda,2018,Exports & Imports,31,9,0.71,0.2,-80.91,52.39,133.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bolivia,2018,Exports & Imports,216,42,4.93,0.93,3825.02,5923.11,2098.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Brazil,2018,Exports & Imports,923,853,21.06,18.91,-25867.18,343742.43,369609.61,0.2,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Barbados,2018,Exports & Imports,31,15,0.71,0.33,-848.24,66.38,914.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Brunei,2018,Exports & Imports,65,19,1.48,0.42,581.59,587.9,6.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bhutan,2018,Exports & Imports,6,4,0.14,0.09,-20.06,91.91,111.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bunkers,2018,Exports & Imports,7,6,0.16,0.13,102441.55,103621.9,1180.35,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Bouvet Island,2018,Exports & Imports,,1,,0.02,,,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Botswana,2018,Exports & Imports,47,8,1.07,0.18,673.46,1207.06,533.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Central African Republic,2018,Exports & Imports,30,5,0.68,0.11,7.41,11.37,3.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Canada,2018,Exports & Imports,1335,1410,30.47,31.26,-23632.45,358351.19,381983.64,0.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cocos (Keeling) Islands,2018,Exports & Imports,,20,,0.44,,,9.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Switzerland,2018,Exports & Imports,2496,2455,56.96,54.43,989243.32,2736143.45,1746900.13,0.94,1.35,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Chile,2018,Exports & Imports,823,204,18.78,4.52,35088.06,79096.69,44008.63,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,China,2018,Exports & Imports,1760,3443,40.16,76.34,-23468567.19,2583493.94,26052061.14,14.09,1.28,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cote d'Ivoire,2018,Exports & Imports,283,70,6.46,1.55,9242.35,33869.99,24627.64,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cameroon,2018,Exports & Imports,162,66,3.7,1.46,-14382.32,4859.39,19241.71,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"Congo, Rep.",2018,Exports & Imports,89,18,2.03,0.4,1720.92,2483.42,762.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cook Islands,2018,Exports & Imports,,14,,0.31,,,97.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Colombia,2018,Exports & Imports,560,241,12.78,5.34,6513.86,58603.69,52089.83,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Comoros,2018,Exports & Imports,41,30,0.94,0.67,-250.62,9.99,260.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cape Verde,2018,Exports & Imports,20,6,0.46,0.13,654.64,657.82,3.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Costa Rica,2018,Exports & Imports,242,179,5.52,3.97,-38109.75,9940.23,48049.98,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cuba,2018,Exports & Imports,256,39,5.84,0.86,19628.23,33159.3,13531.07,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Curaçao,2018,Exports & Imports,59,8,1.35,0.18,428.28,441.19,12.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Christmas Island,2018,Exports & Imports,,6,,0.13,,,5.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cayman Islands,2018,Exports & Imports,34,8,0.78,0.18,310.03,383.26,73.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Cyprus,2018,Exports & Imports,1128,334,25.74,7.41,29867.36,76217.77,46350.41,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Germany,2018,Exports & Imports,3817,4276,87.11,94.81,19271258.75,65641693.39,46370434.65,25.08,32.41,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Djibouti,2018,Exports & Imports,65,6,1.48,0.13,182.71,211.42,28.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Dominica,2018,Exports & Imports,2,24,0.05,0.53,-635.73,26.17,661.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Denmark,2018,Exports & Imports,2157,1968,49.22,43.64,660924.24,1851046.39,1190122.15,0.64,0.91,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Dominican Republic,2018,Exports & Imports,258,147,5.89,3.26,-5714.07,12698.65,18412.72,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Algeria,2018,Exports & Imports,523,78,11.94,1.73,239231.76,283420.41,44188.65,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,East Asia & Pacific,2018,Exports & Imports,2564,3745,58.51,83.04,-33319841.15,6138253.2,39458094.35,21.34,3.03,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Europe & Central Asia,2018,Exports & Imports,4371,4487,99.75,99.49,50888112.43,184094354.2,133206241.8,72.03,90.9,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Ecuador,2018,Exports & Imports,393,163,8.97,3.61,-31501.62,17160.59,48662.22,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"Egypt, Arab Rep.",2018,Exports & Imports,933,491,21.29,10.89,293272.19,391226.42,97954.23,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Western Sahara,2018,Exports & Imports,,4,,0.09,,,178.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Spain,2018,Exports & Imports,2565,2832,58.53,62.79,3197261.3,6369132.73,3171871.42,1.72,3.14,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Estonia,2018,Exports & Imports,1999,739,45.62,16.39,264138.63,388306.92,124168.29,0.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Ethiopia(excludes Eritrea),2018,Exports & Imports,215,85,4.91,1.88,5434.75,15239.06,9804.31,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Finland,2018,Exports & Imports,1906,1295,43.5,28.71,608358.79,1148492.21,540133.43,0.29,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Fiji,2018,Exports & Imports,8,28,0.18,0.62,-70.14,63.86,134.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Falkland Island,2018,Exports & Imports,,8,,0.18,,,2683.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,France,2018,Exports & Imports,2818,3402,64.31,75.43,4255453.02,10274863.19,6019410.17,3.26,5.07,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Faeroe Islands,2018,Exports & Imports,146,18,3.33,0.4,2151.94,2510.4,358.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"Micronesia, Fed. Sts.",2018,Exports & Imports,,2,,0.04,,,0.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Gabon,2018,Exports & Imports,59,12,1.35,0.27,1239.8,1362.21,122.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,United Kingdom,2018,Exports & Imports,2688,3307,61.34,73.33,5551712.49,9398882.55,3847170.05,2.08,4.64,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Georgia,2018,Exports & Imports,1142,293,26.06,6.5,70107.87,94448.31,24340.44,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Ghana,2018,Exports & Imports,438,34,10,0.75,9617.86,17556.69,7938.84,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Gibraltar,2018,Exports & Imports,97,8,2.21,0.18,10732.83,10755.36,22.52,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Guinea,2018,Exports & Imports,52,16,1.19,0.35,2399.36,2568.43,169.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"Gambia, The",2018,Exports & Imports,52,9,1.19,0.2,198.09,272.56,74.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Guinea-Bissau,2018,Exports & Imports,2,2,0.05,0.04,-31.68,0.79,32.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Equatorial Guinea,2018,Exports & Imports,52,40,1.19,0.89,35.12,198.64,163.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Greece,2018,Exports & Imports,1956,1039,44.64,23.04,214459.15,501935.82,287476.68,0.16,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Grenada,2018,Exports & Imports,23,4,0.52,0.09,10.33,34.63,24.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Greenland,2018,Exports & Imports,51,6,1.16,0.13,745.18,766.5,21.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Guatemala,2018,Exports & Imports,224,88,5.11,1.95,-1682.48,8101.81,9784.29,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Guam,2018,Exports & Imports,8,9,0.18,0.2,-643.51,4.75,648.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Guyana,2018,Exports & Imports,23,14,0.52,0.31,254.56,458.37,203.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
