Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Germany,Aruba,2018,Exports & Imports,450,15,10.2,0.33,53921.43,54047.09,125.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Afghanistan,2018,Exports & Imports,657,121,14.89,2.69,82268.07,95511.45,13243.38,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Angola,2018,Exports & Imports,878,38,19.9,0.84,109134.96,163894.27,54759.31,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Anguila,2018,Exports & Imports,34,2,0.77,0.04,1223.44,1292.55,69.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Albania,2018,Exports & Imports,1768,348,40.08,7.74,151085.41,295464.79,144379.39,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Andorra,2018,Exports & Imports,749,49,16.98,1.09,38857.14,52003.52,13146.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,United Arab Emirates,2018,Exports & Imports,3218,1188,72.95,26.41,8490646.71,9967793.51,1477146.79,0.11,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Argentina,2018,Exports & Imports,2455,715,55.66,15.89,1929275.74,3476883.49,1547607.75,0.12,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Armenia,2018,Exports & Imports,1644,157,37.27,3.49,69630.91,240619.98,170989.08,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,American Samoa,2018,Exports & Imports,3,3,0.07,0.07,-64.47,7.78,72.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Antarctica,2018,Exports & Imports,22,7,0.5,0.16,-12.27,229.6,241.87,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Antigua and Barbuda,2018,Exports & Imports,309,38,7.01,0.84,4567.7,17596.08,13028.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Australia,2018,Exports & Imports,3238,1766,73.41,39.25,9059004.77,11871220.95,2812216.18,0.22,0.76,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Austria,2018,Exports & Imports,4222,3795,95.72,84.35,25818293.85,75276412.2,49458118.35,3.83,4.82,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Azerbaijan,2018,Exports & Imports,1881,119,42.64,2.65,-1163035.01,542485.69,1705520.71,0.13,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Burundi,2018,Exports & Imports,236,12,5.35,0.27,-2402.88,11542.17,13945.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Belgium,2018,Exports & Imports,4093,3754,92.79,83.44,-1173351.59,52241080.72,53414432.31,4.13,3.34,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Benin,2018,Exports & Imports,611,20,13.85,0.44,46936.03,47871.52,935.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bonaire,2018,Exports & Imports,106,1,2.4,0.02,1426.89,1460.04,33.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Burkina Faso,2018,Exports & Imports,718,45,16.28,1,26336.08,92183.85,65847.77,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bangladesh,2018,Exports & Imports,1538,606,34.87,13.47,-5930553.36,982205.29,6912758.65,0.53,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bulgaria,2018,Exports & Imports,3476,1795,78.8,39.9,-405204.75,4694406.69,5099611.45,0.39,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,"Bahamas, The",2018,Exports & Imports,1780,226,40.35,5.02,402409.89,484172.31,81762.42,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bosnia and Herzegovina,2018,Exports & Imports,2597,1012,58.88,22.49,133509.43,1087127.93,953618.51,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
