Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Denmark,Aruba,2018,Exports & Imports,88,13,2.07,0.3,1176.35,1267.56,91.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Afghanistan,2018,Exports & Imports,118,30,2.78,0.68,9821.03,9925.99,104.96,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Angola,2018,Exports & Imports,242,22,5.69,0.5,10409.49,10829.47,419.97,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Anguila,2018,Exports & Imports,8,1,0.19,0.02,201.57,201.8,0.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Albania,2018,Exports & Imports,449,41,10.56,0.93,18295.99,20378.88,2082.89,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Andorra,2018,Exports & Imports,224,5,5.27,0.11,1223.74,1226.45,2.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,United Arab Emirates,2018,Exports & Imports,1386,527,32.61,11.98,282025.97,396407.09,114381.13,0.11,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Argentina,2018,Exports & Imports,698,136,16.42,3.09,-37511.71,202993.97,240505.68,0.24,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Armenia,2018,Exports & Imports,367,14,8.64,0.32,4128.86,5491.78,1362.92,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,American Samoa,2018,Exports & Imports,5,3,0.12,0.07,341.45,397.41,55.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Fr. So. Ant. Tr,2018,Exports & Imports,82,7,1.93,0.16,2148.8,2201.98,53.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Antigua and Barbuda,2018,Exports & Imports,31,10,0.73,0.23,703.24,1732.21,1028.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Australia,2018,Exports & Imports,1622,831,38.16,18.9,880338.29,960195.44,79857.15,0.08,0.88,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Austria,2018,Exports & Imports,2349,2290,55.27,52.07,-129683.61,759009.35,888692.96,0.87,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Azerbaijan,2018,Exports & Imports,473,13,11.13,0.3,22865.1,23120.77,255.67,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Burundi,2018,Exports & Imports,71,5,1.67,0.11,3110.07,3355.06,244.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Belgium,2018,Exports & Imports,2439,2953,57.39,67.14,-1162966.33,1814703.78,2977670.1,2.93,1.67,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Benin,2018,Exports & Imports,75,5,1.76,0.11,12715.11,12723.2,8.1,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Burkina Faso,2018,Exports & Imports,102,13,2.4,0.3,8881.56,9193.33,311.77,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bangladesh,2018,Exports & Imports,285,328,6.71,7.46,-654396.45,78877.7,733274.14,0.72,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bulgaria,2018,Exports & Imports,1570,1598,36.94,36.33,-26081.56,120826,146907.56,0.14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bahrain,2018,Exports & Imports,542,38,12.75,0.86,26589.17,27762.87,1173.7,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Bahamas, The",2018,Exports & Imports,89,10,2.09,0.23,17392.72,22688.61,5295.89,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bosnia and Herzegovina,2018,Exports & Imports,572,160,13.46,3.64,5900.42,19225.99,13325.58,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Saint Barthélemy,2018,Exports & Imports,10,1,0.24,0.02,26.89,26.95,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Belarus,2018,Exports & Imports,699,117,16.45,2.66,49733.32,86327.83,36594.51,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Belize,2018,Exports & Imports,22,6,0.52,0.14,1066.66,2601.32,1534.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bermuda,2018,Exports & Imports,27,5,0.64,0.11,3563.3,3614.97,51.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bolivia,2018,Exports & Imports,202,59,4.75,1.34,11429.64,13637.94,2208.31,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Brazil,2018,Exports & Imports,1091,465,25.67,10.57,47791.93,333264.42,285472.49,0.28,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Barbados,2018,Exports & Imports,68,5,1.6,0.11,3145.38,3580.68,435.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Brunei,2018,Exports & Imports,90,6,2.12,0.14,2119.33,2192.74,73.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Bhutan,2018,Exports & Imports,19,2,0.45,0.05,240.65,241.98,1.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Botswana,2018,Exports & Imports,33,6,0.78,0.14,578.17,592.3,14.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Central African Republic,2018,Exports & Imports,53,4,1.25,0.09,3150.63,3156.14,5.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Canada,2018,Exports & Imports,1558,1196,36.66,27.19,292658.94,616527.77,323868.83,0.32,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Switzerland,2018,Exports & Imports,2319,1818,54.56,41.34,103909.79,816371.97,712462.18,0.7,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Chile,2018,Exports & Imports,1003,156,23.6,3.55,1572.32,150306.27,148733.94,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,China,2018,Exports & Imports,1925,2978,45.29,67.71,-4047218.76,3161017.11,7208235.87,7.09,2.91,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cote d'Ivoire,2018,Exports & Imports,351,14,8.26,0.32,8204.25,9470.23,1265.98,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cameroon,2018,Exports & Imports,186,48,4.38,1.09,4049.85,5125.48,1075.63,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Congo, Rep.",2018,Exports & Imports,175,8,4.12,0.18,1623.17,5728.74,4105.57,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Colombia,2018,Exports & Imports,580,107,13.65,2.43,48321.78,62579.49,14257.71,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Comoros,2018,Exports & Imports,30,2,0.71,0.05,343.56,400.02,56.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cape Verde,2018,Exports & Imports,69,4,1.62,0.09,1723.9,1748.33,24.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Costa Rica,2018,Exports & Imports,376,56,8.85,1.27,7412.24,13139.17,5726.93,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cuba,2018,Exports & Imports,217,18,5.11,0.41,18248.95,18750.88,501.93,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Curaçao,2018,Exports & Imports,86,3,2.02,0.07,3803.45,3860.91,57.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cayman Islands,2018,Exports & Imports,20,3,0.47,0.07,195.92,336.73,140.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Cyprus,2018,Exports & Imports,1220,484,28.71,11.01,25706.11,71220.2,45514.09,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Czech Republic,2018,Exports & Imports,2199,2221,51.74,50.5,-878241.49,649759.35,1528000.83,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Germany,2018,Exports & Imports,3303,3989,77.72,90.7,-6919302.31,16019281.08,22938583.39,22.56,14.76,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Djibouti,2018,Exports & Imports,124,4,2.92,0.09,5328.14,5402.39,74.26,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Dominica,2018,Exports & Imports,28,3,0.66,0.07,634.68,641.19,6.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Dominican Republic,2018,Exports & Imports,326,50,7.67,1.14,66813.62,79036.64,12223.02,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Algeria,2018,Exports & Imports,377,11,8.87,0.25,64105.77,64507.14,401.38,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,East Asia & Pacific,2018,Exports & Imports,2775,3347,65.29,76.1,-1957300.9,9434107.88,11391408.77,11.2,8.69,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Europe & Central Asia,2018,Exports & Imports,4200,4334,98.82,98.54,-11128936.51,70180712.98,81309649.49,79.97,64.64,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Ecuador,2018,Exports & Imports,392,51,9.22,1.16,641.37,18669.05,18027.68,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Egypt, Arab Rep.",2018,Exports & Imports,753,247,17.72,5.62,164044.93,181779.83,17734.9,0.02,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Eritrea,2018,Exports & Imports,28,2,0.66,0.05,397.12,408.67,11.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Spain,2018,Exports & Imports,2510,2595,59.06,59,106189.09,1945581.04,1839391.95,1.81,1.79,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Estonia,2018,Exports & Imports,2133,1922,50.19,43.7,-127471.88,301890.37,429362.25,0.42,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Ethiopia(excludes Eritrea),2018,Exports & Imports,276,47,6.49,1.07,18077.25,19573.58,1496.32,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Finland,2018,Exports & Imports,2838,2392,66.78,54.39,654827.24,2039976.52,1385149.28,1.36,1.88,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Fiji,2018,Exports & Imports,50,9,1.18,0.2,1374.06,1427.19,53.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Falkland Island,2018,Exports & Imports,3,5,0.07,0.11,-391.9,41.12,433.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,France,2018,Exports & Imports,2630,2988,61.88,67.94,275031.46,3335182.97,3060151.52,3.01,3.07,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Faeroe Islands,2018,Exports & Imports,2768,336,65.13,7.64,462503.81,635776.79,173272.98,0.17,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Gabon,2018,Exports & Imports,173,8,4.07,0.18,6020.58,6118.09,97.52,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,United Kingdom,2018,Exports & Imports,2759,3243,64.92,73.74,3148481.2,6838697.76,3690216.57,3.63,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Georgia,2018,Exports & Imports,510,46,12,1.05,10930.68,12777.56,1846.89,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Ghana,2018,Exports & Imports,723,85,17.01,1.93,59739.67,78464.53,18724.86,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Gibraltar,2018,Exports & Imports,327,21,7.69,0.48,2753.18,2871.89,118.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Guinea,2018,Exports & Imports,152,5,3.58,0.11,10335.18,10402.39,67.21,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Gambia, The",2018,Exports & Imports,137,3,3.22,0.07,3946.67,3970.3,23.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Guinea-Bissau,2018,Exports & Imports,42,1,0.99,0.02,829.74,830.7,0.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Equatorial Guinea,2018,Exports & Imports,94,1,2.21,0.02,818.49,892.02,73.53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Greece,2018,Exports & Imports,1890,1574,44.47,35.79,281442.91,464158.61,182715.7,0.18,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Grenada,2018,Exports & Imports,32,3,0.75,0.07,1294,1305.55,11.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Greenland,2018,Exports & Imports,2714,258,63.86,5.87,-71602.6,503753.62,575356.22,0.57,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
