Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Spain,Aruba,2018,Exports & Imports,513,5,11.45,0.11,15538.88,15605.21,66.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Afghanistan,2018,Exports & Imports,74,99,1.65,2.19,5538.37,6332.46,794.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Angola,2018,Exports & Imports,1107,53,24.71,1.17,-1318256.27,104495.47,1422751.74,0.38,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Anguila,2018,Exports & Imports,23,1,0.51,0.02,380.91,381,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Albania,2018,Exports & Imports,960,200,21.43,4.42,-57204.93,165792.33,222997.25,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Andorra,2018,Exports & Imports,2535,187,56.58,4.13,1044555.69,1082905.79,38350.1,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,United Arab Emirates,2018,Exports & Imports,2452,806,54.73,17.8,1408869,1838509.78,429640.78,0.11,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Argentina,2018,Exports & Imports,2239,971,49.98,21.44,-747385.25,1354195.71,2101580.96,0.56,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Armenia,2018,Exports & Imports,697,62,15.56,1.37,-16215.34,31412.86,47628.2,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,American Samoa,2018,Exports & Imports,19,13,0.42,0.29,1803.4,1908.86,105.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
