Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Estonia,Afghanistan,2018,Exports & Imports,27,10,0.73,0.24,313.28,362.84,49.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Anguila,2018,Exports & Imports,1,1,0.03,0.02,0.54,1.76,1.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Albania,2018,Exports & Imports,34,82,0.92,1.95,-9053.71,293.43,9347.14,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Andorra,2018,Exports & Imports,12,17,0.33,0.4,-118.06,10.21,128.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,United Arab Emirates,2018,Exports & Imports,302,181,8.2,4.29,67902.2,71551.74,3649.54,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Argentina,2018,Exports & Imports,47,112,1.28,2.66,40888.96,45833.16,4944.2,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Armenia,2018,Exports & Imports,91,27,2.47,0.64,7030.74,7575.17,544.43,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Antarctica,2018,Exports & Imports,1,2,0.03,0.05,-45.45,37.56,83.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Antigua and Barbuda,2018,Exports & Imports,3,1,0.08,0.02,4.36,4.46,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Australia,2018,Exports & Imports,283,414,7.69,9.82,74631.83,83219.85,8588.01,0.04,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Austria,2018,Exports & Imports,416,1217,11.3,28.87,-81446.95,60883.77,142330.72,0.72,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Azerbaijan,2018,Exports & Imports,190,21,5.16,0.5,2536.87,4083,1546.13,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Burundi,2018,Exports & Imports,1,1,0.03,0.02,7.92,8.01,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Belgium,2018,Exports & Imports,576,1672,15.65,39.67,-17143.2,291126.66,308269.86,1.55,1.63,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Burkina Faso,2018,Exports & Imports,5,4,0.14,0.09,-8.04,24.54,32.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bangladesh,2018,Exports & Imports,21,268,0.57,6.36,-29657.08,1599.26,31256.34,0.16,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bulgaria,2018,Exports & Imports,444,558,12.06,13.24,22914.84,41052.95,18138.11,0.09,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bahrain,2018,Exports & Imports,48,33,1.3,0.78,2022.54,2408.96,386.43,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"Bahamas, The",2018,Exports & Imports,143,4,3.88,0.09,7102.63,7119.44,16.82,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bosnia and Herzegovina,2018,Exports & Imports,46,103,1.25,2.44,140.69,889.09,748.4,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Saint Barthélemy,2018,Exports & Imports,,14,,0.33,,,7.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Belarus,2018,Exports & Imports,1051,624,28.55,14.8,-471252.13,100101.75,571353.88,2.88,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Belize,2018,Exports & Imports,4,1,0.11,0.02,92.23,94.23,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bermuda,2018,Exports & Imports,,3,,0.07,,,2.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bolivia,2018,Exports & Imports,37,16,1.01,0.38,612.33,797.33,185.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Brazil,2018,Exports & Imports,151,425,4.1,10.08,-23033.55,21056.6,44090.16,0.22,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Barbados,2018,Exports & Imports,6,5,0.16,0.12,-330.34,14.83,345.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Brunei,2018,Exports & Imports,,1,,0.02,,,0.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Bhutan,2018,Exports & Imports,,1,,0.02,,,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Botswana,2018,Exports & Imports,,1,,0.02,,,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Central African Republic,2018,Exports & Imports,,1,,0.02,,,4.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Canada,2018,Exports & Imports,362,667,9.83,15.82,106890.5,152596.82,45706.32,0.23,0.85,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Cocos (Keeling) Islands,2018,Exports & Imports,,1,,0.02,,,3.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Switzerland,2018,Exports & Imports,693,1417,18.83,33.62,-67236.18,129056.62,196292.81,0.99,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Chile,2018,Exports & Imports,102,93,2.77,2.21,-6558.96,5506.02,12064.98,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,China,2018,Exports & Imports,470,2720,12.77,64.53,-1449121.91,221052.33,1670174.24,8.42,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Cote d'Ivoire,2018,Exports & Imports,22,23,0.6,0.55,-44882.01,1149.18,46031.19,0.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Cameroon,2018,Exports & Imports,24,13,0.65,0.31,-1063.14,809.82,1872.97,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"Congo, Rep.",2018,Exports & Imports,1,2,0.03,0.05,25.31,33.33,8.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
