Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Finland,Aruba,2018,Exports & Imports,25,2,0.65,0.05,371.54,373.04,1.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Afghanistan,2018,Exports & Imports,50,41,1.3,0.95,-1850.85,499.13,2349.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Angola,2018,Exports & Imports,56,4,1.45,0.09,29999.25,30042.28,43.03,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Anguila,2018,Exports & Imports,1,1,0.03,0.02,7.06,7.19,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Albania,2018,Exports & Imports,90,137,2.33,3.17,687.58,2628.73,1941.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Andorra,2018,Exports & Imports,79,38,2.05,0.88,-1226.04,591.02,1817.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,United Arab Emirates,2018,Exports & Imports,966,401,25.06,9.29,271427.84,284700.98,13273.15,0.02,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Argentina,2018,Exports & Imports,429,210,11.13,4.86,58756.59,75502.64,16746.05,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Armenia,2018,Exports & Imports,230,53,5.97,1.23,25383.45,25715.95,332.5,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,American Samoa,2018,Exports & Imports,1,41,0.03,0.95,-56.8,0.64,57.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Antigua and Barbuda,2018,Exports & Imports,33,4,0.86,0.09,128.15,137.33,9.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Australia,2018,Exports & Imports,1321,950,34.27,22.01,633910.81,743124.62,109213.81,0.14,0.99,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Austria,2018,Exports & Imports,1123,1589,29.13,36.81,-301746.77,456889.58,758636.35,0.97,0.61,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Azerbaijan,2018,Exports & Imports,304,31,7.89,0.72,31156.76,32562.1,1405.34,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Burundi,2018,Exports & Imports,3,1,0.08,0.02,-1078.84,29.62,1108.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Belgium,2018,Exports & Imports,1324,2328,34.34,53.93,661488.51,2180217.3,1518728.79,1.94,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Benin,2018,Exports & Imports,63,1,1.63,0.02,5559.3,5559.89,0.59,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Burkina Faso,2018,Exports & Imports,117,18,3.04,0.42,7849.9,7980.6,130.7,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bangladesh,2018,Exports & Imports,276,424,7.16,9.82,26319.43,212534.87,186215.45,0.24,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bulgaria,2018,Exports & Imports,700,640,18.16,14.83,-856.14,86230.98,87087.12,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bahrain,2018,Exports & Imports,185,88,4.8,2.04,9840.81,10327.55,486.74,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"Bahamas, The",2018,Exports & Imports,351,85,9.11,1.97,46614.73,47592.13,977.4,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bosnia and Herzegovina,2018,Exports & Imports,231,201,5.99,4.66,-3919.5,6267.81,10187.31,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Belarus,2018,Exports & Imports,612,267,15.88,6.18,29697.3,71075.3,41378.01,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Belize,2018,Exports & Imports,10,7,0.26,0.16,499.84,507.02,7.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bermuda,2018,Exports & Imports,18,7,0.47,0.16,-100.89,71.91,172.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Bolivia,2018,Exports & Imports,138,34,3.58,0.79,7201.11,7723.54,522.42,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Brazil,2018,Exports & Imports,842,698,21.84,16.17,-275879.23,343847.73,619726.95,0.79,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Barbados,2018,Exports & Imports,29,14,0.75,0.32,204.1,831.73,627.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
