Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
France,Aruba,2018,Exports & Imports,218,18,5.01,0.4,8952.98,9022.56,69.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Afghanistan,2018,Exports & Imports,249,197,5.72,4.34,10341.05,19412.38,9071.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Angola,2018,Exports & Imports,1205,122,27.7,2.69,-283443.99,316769.22,600213.21,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
France,Anguila,2018,Exports & Imports,50,57,1.15,1.25,-303.09,1143.12,1446.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Albania,2018,Exports & Imports,1019,612,23.43,13.47,-31315.25,72698.58,104013.83,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Andorra,2018,Exports & Imports,1812,247,41.66,5.44,280031.4,295108.71,15077.3,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
France,United Arab Emirates,2018,Exports & Imports,2720,1782,62.53,39.23,2219700.01,3736667.95,1516967.94,0.23,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
France,Argentina,2018,Exports & Imports,1685,738,38.74,16.24,474138.14,930852.52,456714.38,0.07,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
France,Armenia,2018,Exports & Imports,889,156,20.44,3.43,67728.52,81608.09,13879.56,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,American Samoa,2018,Exports & Imports,10,45,0.23,0.99,-267.33,396.38,663.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Antarctica,2018,Exports & Imports,22,20,0.51,0.44,1491.1,2811.44,1320.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Fr. So. Ant. Tr,2018,Exports & Imports,115,25,2.64,0.55,-1043.03,8627.55,9670.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Antigua and Barbuda,2018,Exports & Imports,233,84,5.36,1.85,11786.12,12554.92,768.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Australia,2018,Exports & Imports,2610,1634,60,35.97,1796405.16,3108595.94,1312190.78,0.2,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
France,Austria,2018,Exports & Imports,3360,2907,77.24,63.99,-2257236.08,4763489.38,7020725.46,1.06,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
France,Azerbaijan,2018,Exports & Imports,991,100,22.78,2.2,-457688.61,134359.88,592048.49,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
France,Burundi,2018,Exports & Imports,238,43,5.47,0.95,11242.23,13391.01,2148.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Belgium,2018,Exports & Imports,4087,4235,93.95,93.22,-6080063.39,40321521.89,46401585.29,7.04,7.09,,,,,,,,,,,,,,,,,,,,,,,,,
France,Benin,2018,Exports & Imports,1536,153,35.31,3.37,260102.67,262969.45,2866.78,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bonaire,2018,Exports & Imports,12,17,0.28,0.37,210.01,217.23,7.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Burkina Faso,2018,Exports & Imports,1709,213,39.29,4.69,295737.88,319371.16,23633.28,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bangladesh,2018,Exports & Imports,729,622,16.76,13.69,-2687059.94,391615.23,3078675.17,0.47,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bulgaria,2018,Exports & Imports,2679,1613,61.59,35.51,-294166.73,1031099.42,1325266.14,0.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bahrain,2018,Exports & Imports,1379,273,31.7,6.01,98004.99,310878.02,212873.03,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Bahamas, The",2018,Exports & Imports,348,24,8,0.53,13.06,37935.55,37922.49,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bosnia and Herzegovina,2018,Exports & Imports,853,522,19.61,11.49,-71495.99,99359.84,170855.82,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
France,Saint Barthélemy,2018,Exports & Imports,1748,194,40.18,4.27,140899.38,143801.88,2902.49,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
France,Belarus,2018,Exports & Imports,1050,334,24.14,7.35,91345.54,154737.81,63392.27,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
France,Belize,2018,Exports & Imports,70,71,1.61,1.56,601.5,3386.08,2784.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bermuda,2018,Exports & Imports,319,20,7.33,0.44,11502.49,12710.44,1207.95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bolivia,2018,Exports & Imports,599,144,13.77,3.17,-52959.49,78898.4,131857.88,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Brazil,2018,Exports & Imports,2283,1937,52.48,42.64,1773706.35,5331961.43,3558255.09,0.54,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
France,Barbados,2018,Exports & Imports,282,77,6.48,1.69,4178.03,13974.4,9796.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Brunei,2018,Exports & Imports,288,62,6.62,1.36,427486.05,428488.75,1002.7,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bhutan,2018,Exports & Imports,66,19,1.52,0.42,-3196.05,544.49,3740.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Bouvet Island,2018,Exports & Imports,,9,,0.2,,,220.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Botswana,2018,Exports & Imports,163,28,3.75,0.62,38995.21,57394.18,18398.97,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Central African Republic,2018,Exports & Imports,797,30,18.32,0.66,28987.55,35048.19,6060.64,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Canada,2018,Exports & Imports,2752,2311,63.26,50.87,536160.32,3973505.06,3437344.73,0.52,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cocos (Keeling) Islands,2018,Exports & Imports,,9,,0.2,,,76.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Switzerland,2018,Exports & Imports,3953,3358,90.87,73.92,1266102.93,18902370.65,17636267.72,2.67,3.32,,,,,,,,,,,,,,,,,,,,,,,,,
France,Chile,2018,Exports & Imports,1939,581,44.57,12.79,-36156.31,1267978.76,1304135.07,0.2,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
France,China,2018,Exports & Imports,3134,3910,72.05,86.07,-34418932.17,24618000.75,59036932.92,8.95,4.33,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cote d'Ivoire,2018,Exports & Imports,2450,694,56.32,15.28,331827.56,1299630,967802.44,0.15,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cameroon,2018,Exports & Imports,1985,390,45.63,8.58,167021.65,596244.7,429223.04,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Congo, Rep.",2018,Exports & Imports,1853,168,42.6,3.7,316763.79,357955.02,41191.23,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cook Islands,2018,Exports & Imports,9,11,0.21,0.24,-12954.26,777.2,13731.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Colombia,2018,Exports & Imports,1748,649,40.18,14.29,207934.42,788759.01,580824.58,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
France,Comoros,2018,Exports & Imports,802,38,18.44,0.84,16277.63,39783.46,23505.83,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cape Verde,2018,Exports & Imports,381,26,8.76,0.57,22058.4,22365.02,306.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Costa Rica,2018,Exports & Imports,831,374,19.1,8.23,-189245.74,66886.16,256131.9,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cuba,2018,Exports & Imports,667,79,15.33,1.74,197627.12,229376.52,31749.4,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
France,Curaçao,2018,Exports & Imports,475,39,10.92,0.86,14070.59,14710,639.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,Christmas Island,2018,Exports & Imports,,8,,0.18,,,69.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cayman Islands,2018,Exports & Imports,267,58,6.14,1.28,21803.74,28485.94,6682.2,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Cyprus,2018,Exports & Imports,2061,342,47.38,7.53,198360.93,256152.96,57792.04,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
France,Czech Republic,2018,Exports & Imports,3300,2637,75.86,58.05,-3244995.26,5727970.75,8972966.01,1.36,1.01,,,,,,,,,,,,,,,,,,,,,,,,,
France,Germany,2018,Exports & Imports,4107,4379,94.41,96.39,-19040914.61,83212117.33,102253031.9,15.51,14.64,,,,,,,,,,,,,,,,,,,,,,,,,
France,Djibouti,2018,Exports & Imports,1068,44,24.55,0.97,83722.77,84973.17,1250.4,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
