Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
United Kingdom,Aruba,2018,Exports & Imports,142,7,3.17,0.16,21449.9,21526.65,76.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Afghanistan,2018,Exports & Imports,468,105,10.43,2.33,36712.77,39856.57,3143.8,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Angola,2018,Exports & Imports,961,85,21.43,1.88,181067.28,264130.85,83063.57,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Anguila,2018,Exports & Imports,63,5,1.4,0.11,1238.06,1296.33,58.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Albania,2018,Exports & Imports,540,68,12.04,1.51,14413.79,23777.87,9364.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Andorra,2018,Exports & Imports,222,30,4.95,0.67,9967.82,10621.22,653.39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,United Arab Emirates,2018,Exports & Imports,3207,1303,71.5,28.88,7883957.88,10101907.56,2217949.68,0.33,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Argentina,2018,Exports & Imports,1132,334,25.24,7.4,-442902.88,489393.11,932295.99,0.14,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Armenia,2018,Exports & Imports,395,55,8.81,1.22,15386.65,18545.85,3159.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,American Samoa,2018,Exports & Imports,10,11,0.22,0.24,-48.42,378.03,426.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
