Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Greece,Aruba,2018,Exports & Imports,23,5,0.58,0.11,132.42,134.98,2.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Afghanistan,2018,Exports & Imports,32,4,0.8,0.09,5023.99,5096.14,72.14,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Angola,2018,Exports & Imports,71,4,1.78,0.09,1033.15,1645.89,612.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Albania,2018,Exports & Imports,2060,572,51.67,12.98,482052.23,622697.42,140645.19,0.22,1.58,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Andorra,2018,Exports & Imports,15,11,0.38,0.25,223.83,287.84,64.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,United Arab Emirates,2018,Exports & Imports,936,390,23.48,8.85,258451.53,378442.2,119990.68,0.18,0.96,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Argentina,2018,Exports & Imports,107,72,2.68,1.63,-146334.76,37979.69,184314.45,0.28,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Armenia,2018,Exports & Imports,164,16,4.11,0.36,15730.82,16259.47,528.65,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Fr. So. Ant. Tr,2018,Exports & Imports,6,1,0.15,0.02,4.81,5.71,0.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Antigua and Barbuda,2018,Exports & Imports,31,5,0.78,0.11,17465.97,17649.1,183.13,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Australia,2018,Exports & Imports,753,356,18.89,8.08,167065.12,186916.89,19851.77,0.03,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Austria,2018,Exports & Imports,969,2002,24.3,45.42,-232784.94,324283.88,557068.82,0.86,0.82,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Azerbaijan,2018,Exports & Imports,148,11,3.71,0.25,-255476.07,4703.03,260179.11,0.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Burundi,2018,Exports & Imports,7,2,0.18,0.05,318.71,326.17,7.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Belgium,2018,Exports & Imports,1371,2593,34.39,58.82,-1463339.24,489139.32,1952478.55,3,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Benin,2018,Exports & Imports,22,5,0.55,0.11,1486.34,1585.69,99.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bangladesh,2018,Exports & Imports,104,182,2.61,4.13,-7032.18,43223.84,50256.02,0.08,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bulgaria,2018,Exports & Imports,3062,2918,76.8,66.2,-359448.62,1679002.93,2038451.55,3.13,4.25,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bahrain,2018,Exports & Imports,245,30,6.14,0.68,11657.86,17267.69,5609.83,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"Bahamas, The",2018,Exports & Imports,394,24,9.88,0.54,61689.66,62076.01,386.36,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bosnia and Herzegovina,2018,Exports & Imports,315,70,7.9,1.59,104101.22,114765.51,10664.3,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Saint Barthélemy,2018,Exports & Imports,20,5,0.5,0.11,407.96,414.33,6.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Belarus,2018,Exports & Imports,121,39,3.03,0.88,2687.68,11785.31,9097.64,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Belize,2018,Exports & Imports,30,3,0.75,0.07,1602.23,2589.65,987.42,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bermuda,2018,Exports & Imports,20,1,0.5,0.02,9360.69,9360.99,0.31,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bolivia,2018,Exports & Imports,22,8,0.55,0.18,78.54,1304.01,1225.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Brazil,2018,Exports & Imports,284,304,7.12,6.9,-25129.05,130575.96,155705.01,0.24,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Barbados,2018,Exports & Imports,29,1,0.73,0.02,4781.19,4784.61,3.42,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Bunkers,2018,Exports & Imports,11,21,0.28,0.48,287.64,663.63,375.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Botswana,2018,Exports & Imports,9,3,0.23,0.07,-2486.53,716.71,3203.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Canada,2018,Exports & Imports,662,543,16.6,12.32,86482.52,191488,105005.48,0.16,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Switzerland,2018,Exports & Imports,842,965,21.12,21.89,-320800.37,170693.8,491494.17,0.75,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Chile,2018,Exports & Imports,181,49,4.54,1.11,-37263.18,15379.11,52642.29,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,China,2018,Exports & Imports,689,2628,17.28,59.62,-3177403.98,1063817.03,4241221.02,6.51,2.69,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cote d'Ivoire,2018,Exports & Imports,84,18,2.11,0.41,7430.39,12463.84,5033.45,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cameroon,2018,Exports & Imports,88,22,2.21,0.5,5262,8601.98,3339.98,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"Congo, Rep.",2018,Exports & Imports,35,2,0.88,0.05,-136220.88,2311.64,138532.53,0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cook Islands,2018,Exports & Imports,13,1,0.33,0.02,1927.01,1927.92,0.91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Colombia,2018,Exports & Imports,137,61,3.44,1.38,-11446.09,9786.86,21232.95,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Comoros,2018,Exports & Imports,17,2,0.43,0.05,1247.44,1597.7,350.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cape Verde,2018,Exports & Imports,8,1,0.2,0.02,-234,269.46,503.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Costa Rica,2018,Exports & Imports,58,27,1.45,0.61,-25632.86,1238.33,26871.19,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cuba,2018,Exports & Imports,65,6,1.63,0.14,-11354.67,1810.51,13165.18,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Curaçao,2018,Exports & Imports,112,2,2.81,0.05,1760.05,1779.59,19.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cayman Islands,2018,Exports & Imports,67,2,1.68,0.05,-8596.8,3570.77,12167.57,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Cyprus,2018,Exports & Imports,3154,1672,79.11,37.93,1588134.83,2066466.29,478331.47,0.73,5.23,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Czech Republic,2018,Exports & Imports,1122,1614,28.14,36.62,-219984.8,273261.1,493245.9,0.76,0.69,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Germany,2018,Exports & Imports,2259,3786,56.66,85.89,-4081704.6,2490599.56,6572304.17,10.09,6.31,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Djibouti,2018,Exports & Imports,40,1,1,0.02,1040.63,1050.45,9.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Denmark,2018,Exports & Imports,637,1695,15.98,38.45,-372795.2,235956.79,608752,0.93,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Dominican Republic,2018,Exports & Imports,99,18,2.48,0.41,18741.84,20118.92,1377.08,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Algeria,2018,Exports & Imports,195,23,4.89,0.52,-115312.92,203120.63,318433.55,0.49,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,East Asia & Pacific,2018,Exports & Imports,1647,2862,41.31,64.93,-4217245.01,2592556.57,6809801.58,10.45,6.57,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Europe & Central Asia,2018,Exports & Imports,3938,4387,98.77,99.52,-17132185.09,25628295.8,42760480.89,65.64,64.9,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Ecuador,2018,Exports & Imports,66,21,1.66,0.48,-131440.38,6858.62,138299,0.21,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"Egypt, Arab Rep.",2018,Exports & Imports,606,405,15.2,9.19,620005,1370940.54,750935.53,1.15,3.47,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Eritrea,2018,Exports & Imports,,1,,0.02,,,5.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Spain,2018,Exports & Imports,1579,2916,39.6,66.15,-1043656.64,1301477.93,2345134.57,3.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Estonia,2018,Exports & Imports,462,260,11.59,5.9,2217.49,21608.12,19390.64,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Ethiopia(excludes Eritrea),2018,Exports & Imports,165,16,4.14,0.36,-4228.33,5364.04,9592.38,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
