Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Croatia,Afghanistan,2018,Exports & Imports,23,2,0.58,0.05,309.05,309.71,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Albania,2018,Exports & Imports,848,171,21.5,3.93,62883.68,71219.9,8336.22,0.03,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Andorra,2018,Exports & Imports,,5,,0.11,,,0.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,United Arab Emirates,2018,Exports & Imports,309,177,7.83,4.06,26685.11,28132.47,1447.36,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Argentina,2018,Exports & Imports,49,56,1.24,1.29,6594.34,14831.55,8237.21,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Armenia,2018,Exports & Imports,22,4,0.56,0.09,4021.41,4145.52,124.11,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Australia,2018,Exports & Imports,259,346,6.57,7.94,18682.36,21460.04,2777.68,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Austria,2018,Exports & Imports,1855,3134,47.03,71.96,-827512.48,1110628.17,1938140.65,6.89,6.45,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Azerbaijan,2018,Exports & Imports,53,4,1.34,0.09,-404666.14,979.79,405645.93,1.44,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Burundi,2018,Exports & Imports,2,1,0.05,0.02,10.61,12.05,1.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Belgium,2018,Exports & Imports,794,1944,20.13,44.64,-152840.85,308420.59,461261.44,1.64,1.79,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Benin,2018,Exports & Imports,12,2,0.3,0.05,1682.61,1700.56,17.96,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Burkina Faso,2018,Exports & Imports,66,1,1.67,0.02,176.61,177.47,0.86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bangladesh,2018,Exports & Imports,25,168,0.63,3.86,-15482.08,1173.35,16655.43,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bulgaria,2018,Exports & Imports,943,973,23.91,22.34,-98550.32,122992.83,221543.15,0.79,0.71,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bahrain,2018,Exports & Imports,42,28,1.06,0.64,7413.84,8195.98,782.15,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bosnia and Herzegovina,2018,Exports & Imports,3176,1634,80.53,37.52,744860.05,1612954.42,868094.37,3.09,9.37,,,,,,,,,,,,,,,,,,,,,,,,,
