Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Hungary,Aruba,2018,Exports & Imports,41,1,1.02,0.02,869.81,870.18,0.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Afghanistan,2018,Exports & Imports,141,8,3.52,0.18,5171.56,5473.33,301.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Albania,2018,Exports & Imports,862,158,21.52,3.62,77212.53,103062.28,25849.76,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Andorra,2018,Exports & Imports,15,3,0.37,0.07,72.16,72.82,0.66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,United Arab Emirates,2018,Exports & Imports,690,516,17.22,11.83,156911.02,199225.76,42314.73,0.04,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Argentina,2018,Exports & Imports,311,116,7.76,2.66,70426.04,89104.46,18678.41,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Armenia,2018,Exports & Imports,211,35,5.27,0.8,15654.34,16718.99,1064.65,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Antigua and Barbuda,2018,Exports & Imports,12,1,0.3,0.02,818.13,818.22,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Australia,2018,Exports & Imports,799,673,19.95,15.44,426627.65,477738.48,51110.84,0.04,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Austria,2018,Exports & Imports,2650,3209,66.15,73.6,-1305828.52,5859853.62,7165682.14,6.1,4.73,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Azerbaijan,2018,Exports & Imports,266,15,6.64,0.34,59268.47,59666.46,398,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Burundi,2018,Exports & Imports,6,2,0.15,0.05,105.03,106.23,1.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Belgium,2018,Exports & Imports,1530,2564,38.19,58.81,-150924.7,2650067.12,2800991.82,2.39,2.14,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Benin,2018,Exports & Imports,49,3,1.22,0.07,7614.3,7796.79,182.49,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Burkina Faso,2018,Exports & Imports,19,1,0.47,0.02,3750.25,3765.92,15.66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bangladesh,2018,Exports & Imports,83,60,2.07,1.38,7406.65,15777.1,8370.45,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bulgaria,2018,Exports & Imports,2048,1043,51.12,23.92,826782.53,1300015.64,473233.11,0.4,1.05,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bahrain,2018,Exports & Imports,141,149,3.52,3.42,5438.77,8538.65,3099.88,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,"Bahamas, The",2018,Exports & Imports,23,18,0.57,0.41,584.99,878.32,293.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bosnia and Herzegovina,2018,Exports & Imports,1556,278,38.84,6.38,215887.69,408919.35,193031.66,0.16,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Belarus,2018,Exports & Imports,617,346,15.4,7.94,52623.65,133197.91,80574.26,0.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Belize,2018,Exports & Imports,14,13,0.35,0.3,356.49,475.5,119.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bermuda,2018,Exports & Imports,38,3,0.95,0.07,1019.44,1084.51,65.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bolivia,2018,Exports & Imports,111,7,2.77,0.16,16934.66,17053.01,118.35,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Brazil,2018,Exports & Imports,553,405,13.8,9.29,61195.2,245427.11,184231.91,0.16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Brunei,2018,Exports & Imports,49,3,1.22,0.07,2537.25,2550.58,13.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bhutan,2018,Exports & Imports,3,1,0.07,0.02,37.92,38.4,0.48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Botswana,2018,Exports & Imports,56,2,1.4,0.05,1911.14,1911.67,0.53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Central African Republic,2018,Exports & Imports,2,1,0.05,0.02,0.55,1.57,1.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Canada,2018,Exports & Imports,742,1032,18.52,23.67,217525.98,312695.91,95169.92,0.08,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
