Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Ireland,Afghanistan,2018,Exports & Imports,36,72,0.98,1.65,8038.82,8868.85,830.03,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Angola,2018,Exports & Imports,51,6,1.38,0.14,12066.24,12151.93,85.69,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Anguila,2018,Exports & Imports,,7,,0.16,,,6.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Albania,2018,Exports & Imports,61,77,1.65,1.77,8542.67,9559.84,1017.18,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Andorra,2018,Exports & Imports,14,16,0.38,0.37,240.69,287.77,47.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,United Arab Emirates,2018,Exports & Imports,846,625,22.94,14.33,338393.17,428611.15,90217.99,0.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Argentina,2018,Exports & Imports,184,182,4.99,4.17,-125623.78,203508.92,329132.7,0.31,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Armenia,2018,Exports & Imports,49,19,1.33,0.44,1199.47,1244.76,45.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,American Samoa,2018,Exports & Imports,,10,,0.23,,,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Antarctica,2018,Exports & Imports,,2,,0.05,,,39.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Antigua and Barbuda,2018,Exports & Imports,9,20,0.24,0.46,53.49,240.82,187.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Australia,2018,Exports & Imports,904,1192,24.51,27.33,864024.08,989718.17,125694.09,0.12,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Austria,2018,Exports & Imports,565,879,15.32,20.15,117670.29,493761.98,376091.69,0.35,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Azerbaijan,2018,Exports & Imports,91,12,2.47,0.28,7275.71,7622.15,346.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Burundi,2018,Exports & Imports,3,2,0.08,0.05,323.91,324.1,0.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Belgium,2018,Exports & Imports,970,1901,26.3,43.58,19893120.93,21827294.39,1934173.46,1.81,13.07,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Benin,2018,Exports & Imports,24,6,0.65,0.14,2893.86,2909.82,15.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Burkina Faso,2018,Exports & Imports,19,8,0.52,0.18,11423.37,11481,57.63,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bangladesh,2018,Exports & Imports,65,366,1.76,8.39,-200445.6,22355.31,222800.91,0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bulgaria,2018,Exports & Imports,325,426,8.81,9.77,68757.42,124764.67,56007.24,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bahrain,2018,Exports & Imports,253,91,6.86,2.09,58367.55,64820.14,6452.59,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"Bahamas, The",2018,Exports & Imports,38,15,1.03,0.34,-66408.47,3869.56,70278.04,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bosnia and Herzegovina,2018,Exports & Imports,146,120,3.96,2.75,16908.06,19860.01,2951.95,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Saint Barthélemy,2018,Exports & Imports,1,5,0.03,0.11,-42.68,13.71,56.39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Belarus,2018,Exports & Imports,118,54,3.2,1.24,-36019.91,6358.32,42378.23,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Belize,2018,Exports & Imports,5,8,0.14,0.18,-16095.34,330.21,16425.55,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bermuda,2018,Exports & Imports,31,32,0.84,0.73,747.87,1174.48,426.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bolivia,2018,Exports & Imports,47,27,1.27,0.62,804.02,1749.74,945.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Brazil,2018,Exports & Imports,411,527,11.14,12.08,56514.68,347026.14,290511.46,0.27,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Barbados,2018,Exports & Imports,62,18,1.68,0.41,1453.06,1583.87,130.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Brunei,2018,Exports & Imports,23,13,0.62,0.3,669.65,677.83,8.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bhutan,2018,Exports & Imports,1,7,0.03,0.16,-113.31,2.55,115.86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Bouvet Island,2018,Exports & Imports,,1,,0.02,,,27.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Botswana,2018,Exports & Imports,12,10,0.33,0.23,483.36,551.47,68.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Central African Republic,2018,Exports & Imports,17,19,0.46,0.44,-120.15,583.57,703.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Canada,2018,Exports & Imports,950,1403,25.76,32.16,979097.35,1602469.4,623372.05,0.58,0.96,,,,,,,,,,,,,,,,,,,,,,,,,
