Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Iceland,Afghanistan,2018,Exports & Imports,,9,,0.23,,,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Albania,2018,Exports & Imports,2,64,0.13,1.6,-177.5,1.47,178.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Andorra,2018,Exports & Imports,,10,,0.25,,,2.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,United Arab Emirates,2018,Exports & Imports,60,146,3.98,3.66,-10667.4,1898.96,12566.36,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Argentina,2018,Exports & Imports,22,83,1.46,2.08,-4132.79,1085.27,5218.07,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Armenia,2018,Exports & Imports,2,3,0.13,0.08,327.93,330.9,2.97,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Australia,2018,Exports & Imports,118,603,7.83,15.1,-317154.21,21426.66,338580.87,4.41,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Austria,2018,Exports & Imports,78,1033,5.18,25.87,-36595.79,3503.25,40099.04,0.52,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Azerbaijan,2018,Exports & Imports,6,3,0.4,0.08,1256.3,1281.57,25.28,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Belgium,2018,Exports & Imports,142,1609,9.42,40.3,-13698.04,86007.66,99705.7,1.3,1.55,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Burkina Faso,2018,Exports & Imports,,3,,0.08,,,65.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bangladesh,2018,Exports & Imports,3,269,0.2,6.74,-12646.09,218.47,12864.56,0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bulgaria,2018,Exports & Imports,18,497,1.19,12.45,-8315.17,1741.17,10056.33,0.13,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bahrain,2018,Exports & Imports,6,86,0.4,2.15,106.15,183.67,77.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,"Bahamas, The",2018,Exports & Imports,1,2,0.07,0.05,7566.38,7580.98,14.6,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bosnia and Herzegovina,2018,Exports & Imports,,113,,2.83,,,682.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Belarus,2018,Exports & Imports,12,54,0.8,1.35,18203.48,18902.77,699.29,0.01,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bermuda,2018,Exports & Imports,1,2,0.07,0.05,1694.63,1710.3,15.67,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Bolivia,2018,Exports & Imports,,27,,0.68,,,132.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Brazil,2018,Exports & Imports,27,287,1.79,7.19,-208273.11,12148.8,220421.9,2.87,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Barbados,2018,Exports & Imports,2,3,0.13,0.08,299.72,302.6,2.87,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Canada,2018,Exports & Imports,281,971,18.65,24.32,-13705.17,115061.47,128766.65,1.68,2.07,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Switzerland,2018,Exports & Imports,139,1171,9.22,29.33,-34377.06,39105.49,73482.55,0.96,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Chile,2018,Exports & Imports,65,72,4.31,1.8,-18608.86,4519.79,23128.65,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,China,2018,Exports & Imports,94,2493,6.24,62.43,-535829.96,144484.78,680314.73,8.85,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Cote d'Ivoire,2018,Exports & Imports,1,7,0.07,0.18,-2421.98,59.48,2481.46,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Cameroon,2018,Exports & Imports,,2,,0.05,,,55.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,"Congo, Rep.",2018,Exports & Imports,,2,,0.05,,,13.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Colombia,2018,Exports & Imports,6,99,0.4,2.48,-2469.96,199.12,2669.08,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Costa Rica,2018,Exports & Imports,5,63,0.33,1.58,-2695.62,18.47,2714.09,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Cuba,2018,Exports & Imports,1,3,0.07,0.08,-151.73,39.9,191.63,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Cayman Islands,2018,Exports & Imports,1,1,0.07,0.03,123.61,123.73,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
