Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Italy,Aruba,2018,Exports & Imports,180,20,4.07,0.44,7817.89,8102.67,284.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Afghanistan,2018,Exports & Imports,216,27,4.88,0.6,10104.89,13243.83,3138.94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Angola,2018,Exports & Imports,894,41,20.19,0.91,-286660.75,235983.41,522644.16,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Anguila,2018,Exports & Imports,43,1,0.97,0.02,1858.55,1861.65,3.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Albania,2018,Exports & Imports,2757,976,62.26,21.58,352866.64,1675575.17,1322708.53,0.26,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Andorra,2018,Exports & Imports,445,67,10.05,1.48,26288.7,26950.39,661.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,United Arab Emirates,2018,Exports & Imports,2842,968,64.18,21.41,4052170.91,5403047.62,1350876.71,0.27,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Argentina,2018,Exports & Imports,1997,537,45.1,11.88,144466.38,1349282.37,1204815.99,0.24,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Armenia,2018,Exports & Imports,1128,61,25.47,1.35,114419.95,164720.8,50300.85,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,American Samoa,2018,Exports & Imports,13,1,0.29,0.02,329.56,331.07,1.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Fr. So. Ant. Tr,2018,Exports & Imports,2,1,0.05,0.02,2.27,3.79,1.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Antigua and Barbuda,2018,Exports & Imports,263,20,5.94,0.44,7780.56,8116.31,335.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Australia,2018,Exports & Imports,2709,965,61.18,21.34,4034694.2,4731434.62,696740.41,0.14,0.86,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Austria,2018,Exports & Imports,3861,3444,87.2,76.16,732314.06,12111370.69,11379056.62,2.26,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Azerbaijan,2018,Exports & Imports,1327,101,29.97,2.23,-6234948.06,330025.67,6564973.73,1.3,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Burundi,2018,Exports & Imports,133,8,3,0.18,1757.86,3844.09,2086.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Belgium,2018,Exports & Imports,3800,3559,85.82,78.7,-7076921.76,15723064.13,22799985.9,4.53,2.86,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Benin,2018,Exports & Imports,402,20,9.08,0.44,46967.64,50193.72,3226.07,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Burkina Faso,2018,Exports & Imports,507,14,11.45,0.31,54746.41,75466.08,20719.67,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Bangladesh,2018,Exports & Imports,1167,427,26.36,9.44,-777307.78,875278.68,1652586.45,0.33,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
