Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Lithuania,Afghanistan,2018,Exports & Imports,118,2,2.82,0.05,9661.92,9679.41,17.49,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Angola,2018,Exports & Imports,61,2,1.46,0.05,15542.34,15543.15,0.81,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Anguila,2018,Exports & Imports,,2,,0.05,,,26.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Albania,2018,Exports & Imports,113,24,2.7,0.55,2246.06,3223.46,977.4,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Andorra,2018,Exports & Imports,9,8,0.21,0.18,292.48,328.49,36.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,United Arab Emirates,2018,Exports & Imports,510,171,12.18,3.92,57553.94,60554.76,3000.82,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Argentina,2018,Exports & Imports,47,66,1.12,1.51,-17326.99,17988,35314.99,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Armenia,2018,Exports & Imports,330,55,7.88,1.26,23849.79,27301.82,3452.03,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Antigua and Barbuda,2018,Exports & Imports,6,3,0.14,0.07,33.52,35.11,1.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Australia,2018,Exports & Imports,490,319,11.7,7.32,69757.58,72578.42,2820.84,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
