Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Luxembourg,Aruba,2018,Exports & Imports,1,2,0.03,0.05,11.36,11.9,0.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Afghanistan,2018,Exports & Imports,38,28,1.09,0.65,1467.92,1498.12,30.2,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Angola,2018,Exports & Imports,62,2,1.78,0.05,4131.67,4132.2,0.53,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Anguila,2018,Exports & Imports,1,2,0.03,0.05,54.3,54.72,0.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Albania,2018,Exports & Imports,55,77,1.58,1.8,-37.74,465.27,503,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Andorra,2018,Exports & Imports,42,46,1.21,1.07,3157.63,3536.99,379.36,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,United Arab Emirates,2018,Exports & Imports,442,166,12.71,3.87,44724.2,63306.91,18582.72,0.08,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Argentina,2018,Exports & Imports,128,101,3.68,2.36,-15486.65,8323.76,23810.41,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Armenia,2018,Exports & Imports,56,15,1.61,0.35,-1090.39,236.09,1326.48,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,American Samoa,2018,Exports & Imports,1,5,0.03,0.12,-0.25,1.55,1.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Antarctica,2018,Exports & Imports,2,1,0.06,0.02,361.67,361.78,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Fr. So. Ant. Tr,2018,Exports & Imports,,1,,0.02,,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Antigua and Barbuda,2018,Exports & Imports,4,4,0.12,0.09,154.78,181.3,26.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Australia,2018,Exports & Imports,380,359,10.93,8.38,14245.12,22344.22,8099.1,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Austria,2018,Exports & Imports,788,1401,22.66,32.7,140413.58,294525.37,154111.79,0.67,1.94,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Azerbaijan,2018,Exports & Imports,407,9,11.7,0.21,16024.95,16045.16,20.21,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Belgium,2018,Exports & Imports,2896,3764,83.27,87.86,-4104217.31,1784448.89,5888666.2,25.47,11.78,,,,,,,,,,,,,,,,,,,,,,,,,
