Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Latvia,Afghanistan,2018,Exports & Imports,19,3,0.51,0.07,1258.7,2282.87,1024.17,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Albania,2018,Exports & Imports,61,15,1.63,0.36,1467.8,1850.7,382.9,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,United Arab Emirates,2018,Exports & Imports,295,186,7.89,4.41,43308.24,52633.17,9324.93,0.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Argentina,2018,Exports & Imports,52,38,1.39,0.9,-3782.9,6146.6,9929.5,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Armenia,2018,Exports & Imports,221,40,5.91,0.95,5286.91,7979.86,2692.96,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Antigua and Barbuda,2018,Exports & Imports,80,1,2.14,0.02,148.44,158.82,10.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Australia,2018,Exports & Imports,278,132,7.43,3.13,27265.5,29422.05,2156.55,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Austria,2018,Exports & Imports,583,1455,15.58,34.48,-108472.58,83071.74,191544.32,1.03,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Azerbaijan,2018,Exports & Imports,310,23,8.29,0.55,23239.39,23559.76,320.37,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Belgium,2018,Exports & Imports,584,1745,15.61,41.35,-126263.7,177279.27,303542.96,1.63,1.18,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Burkina Faso,2018,Exports & Imports,30,2,0.8,0.05,199.2,557.36,358.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Bangladesh,2018,Exports & Imports,23,79,0.61,1.87,7012.7,7899.08,886.38,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Bulgaria,2018,Exports & Imports,637,495,17.03,11.73,-14569.94,31779.06,46349,0.25,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Bahrain,2018,Exports & Imports,37,6,0.99,0.14,481.07,501.99,20.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Bosnia and Herzegovina,2018,Exports & Imports,78,31,2.09,0.73,2700.95,3562.43,861.48,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Belarus,2018,Exports & Imports,1552,922,41.49,21.85,-175965.17,193191.87,369157.04,1.98,1.29,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Bolivia,2018,Exports & Imports,26,1,0.69,0.02,1476.98,1480.97,3.99,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Brazil,2018,Exports & Imports,99,117,2.65,2.77,4100.36,12009.46,7909.1,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Canada,2018,Exports & Imports,325,458,8.69,10.85,-843120.8,25612.19,868732.98,4.67,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Switzerland,2018,Exports & Imports,574,883,15.34,20.92,-38739.24,74970.25,113709.49,0.61,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Chile,2018,Exports & Imports,122,29,3.26,0.69,2568.9,7173.19,4604.28,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,China,2018,Exports & Imports,335,2009,8.95,47.61,-390200.6,187633.06,577833.65,3.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Cote d'Ivoire,2018,Exports & Imports,28,3,0.75,0.07,204.2,705.97,501.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"Congo, Rep.",2018,Exports & Imports,16,1,0.43,0.02,371.52,371.61,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Colombia,2018,Exports & Imports,30,20,0.8,0.47,3195.83,3804.17,608.34,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Comoros,2018,Exports & Imports,,1,,0.02,,,202.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Costa Rica,2018,Exports & Imports,18,14,0.48,0.33,587.46,664.88,77.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Curaçao,2018,Exports & Imports,3,2,0.08,0.05,206.22,207.19,0.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Cyprus,2018,Exports & Imports,342,89,9.14,2.11,3844.32,12575.49,8731.17,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Czech Republic,2018,Exports & Imports,1049,1723,28.04,40.83,-58452.02,189574.04,248026.05,1.33,1.26,,,,,,,,,,,,,,,,,,,,,,,,,
