Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Moldova,Afghanistan,2018,Exports & Imports,82,11,3.81,0.29,-102.69,72.77,175.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Albania,2018,Exports & Imports,15,97,0.7,2.52,-543.31,141.44,684.75,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Andorra,2018,Exports & Imports,,24,,0.62,,,264.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,United Arab Emirates,2018,Exports & Imports,62,99,2.88,2.57,6986.42,11714.71,4728.28,0.08,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Argentina,2018,Exports & Imports,1,79,0.05,2.05,-5067.58,0.02,5067.6,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Armenia,2018,Exports & Imports,43,23,2,0.6,1068.69,2327.35,1258.65,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,American Samoa,2018,Exports & Imports,,10,,0.26,,,40.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Antigua and Barbuda,2018,Exports & Imports,1,3,0.05,0.08,-11.37,9.18,20.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Australia,2018,Exports & Imports,26,146,1.21,3.79,-566.13,364.65,930.78,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Austria,2018,Exports & Imports,93,859,4.32,22.29,-64275.65,39362.86,103638.51,1.8,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Azerbaijan,2018,Exports & Imports,109,12,5.06,0.31,4766.47,5341.97,575.5,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Burundi,2018,Exports & Imports,,2,,0.05,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Belgium,2018,Exports & Imports,140,1120,6.5,29.07,-30972.79,14755.69,45728.48,0.79,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
