Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
North Macedonia,Afghanistan,2018,Exports & Imports,15,1,0.51,0.03,42.04,42.11,0.07,0,0,2.5,2.5,1,100,0,0,0,2.5,2.5,0,0.07,0,2.5,2.5,1,100,0,0,0,2.5,2.5,0,0.07,0,
North Macedonia,Albania,2018,Exports & Imports,1002,419,34.23,10.47,12275.34,89203.01,76927.67,0.85,1.29,0,0,1036,0,100,0,0,0,0,0,1767.24,75011.23,12.4,6.53,1036,72.49,21.91,0.19,5.41,50,0,30.97,27456.68,49321.79,1
North Macedonia,Andorra,2018,Exports & Imports,,2,,0.05,,,8.53,0,,5,6.55,3,66.67,33.33,0,0,10,0,0,5.58,2.95,5,6.55,3,66.67,33.33,0,0,10,0,0,5.58,2.95,
North Macedonia,United Arab Emirates,2018,Exports & Imports,40,176,1.37,4.4,536.39,3302.79,2766.4,0.03,0.05,8.84,2.13,444,73.65,26.35,0,0,25,0,0,952.47,1753.66,8.84,2.13,444,73.65,26.35,0,0,25,0,0,952.47,1753.66,
North Macedonia,Argentina,2018,Exports & Imports,10,81,0.34,2.02,-18101.32,2142.02,20243.34,0.22,0.03,6.62,1.65,271,60.52,33.58,0,5.9,30,0,0,2850.32,17361.65,6.62,1.65,271,60.52,33.58,0,5.9,30,0,0,2850.32,17361.65,
North Macedonia,Antarctica,2018,Exports & Imports,,1,,0.03,,,0.48,0,,10,10,2,100,0,0,0,10,10,0,0.48,0,10,10,2,100,0,0,0,10,10,0,0.48,0,
North Macedonia,Australia,2018,Exports & Imports,180,391,6.15,9.77,2533.6,6551.71,4018.11,0.04,0.09,10.18,1.21,971,70.75,26.47,0,2.78,30.05,0,0,579.8,3425.34,10.18,1.21,971,70.75,26.47,0,2.78,30.05,0,0,579.8,3425.34,
North Macedonia,Austria,2018,Exports & Imports,432,1320,14.76,32.98,9565.82,164389.24,154823.42,1.71,2.38,0.63,0.95,3088,3.4,91.29,0,5.31,50,0,0,13259.72,138436,7.61,7.67,3088,63.47,30.89,0,5.63,50,0,0,117004.06,34691.66,1
North Macedonia,Azerbaijan,2018,Exports & Imports,8,3,0.27,0.07,340.66,366.16,25.5,0,0.01,8.08,2.08,11,9.09,54.55,0,36.36,45.12,0,0,2.19,23.31,8.08,2.08,11,9.09,54.55,0,36.36,45.12,0,0,2.19,23.31,
North Macedonia,Belgium,2018,Exports & Imports,496,1253,16.95,31.31,117200.14,259265.15,142065.02,1.57,3.75,0.66,0.43,2913,5.53,90.97,0,3.5,60,0,0,7298.58,133533.38,7.51,4.7,2913,67.42,28.73,0,3.84,60,0,0,79959.43,60872.53,1
North Macedonia,Burkina Faso,2018,Exports & Imports,,7,,0.17,,,5.74,0,,11.69,10.84,40,77.5,10,0,12.5,29.01,0,0,5.2,0.54,11.69,10.84,40,77.5,10,0,12.5,29.01,0,0,5.2,0.54,
North Macedonia,Bangladesh,2018,Exports & Imports,20,187,0.68,4.67,-11478.33,180.72,11659.05,0.13,0,16.17,17.31,382,96.86,3.14,0,0,25,0,0,11502.37,156.68,16.17,17.31,382,96.86,3.14,0,0,25,0,0,11502.37,156.68,
North Macedonia,Bulgaria,2018,Exports & Imports,876,1824,29.93,45.58,-28397.34,360718.56,389115.89,4.3,5.22,0.6,0.44,4024,5.17,92.27,0,2.56,50,0,0,78093.28,302649.47,7.69,4.69,4024,65.11,31.91,0,2.98,50,0,0,209630.54,171112.2,1
North Macedonia,Bahrain,2018,Exports & Imports,8,43,0.27,1.07,756.27,758.91,2.64,0,0.01,10.86,11.74,99,68.69,31.31,0,0,23,0,0,2.26,0.34,10.86,11.74,99,68.69,31.31,0,0,23,0,0,2.26,0.34,
North Macedonia,"Bahamas, The",2018,Exports & Imports,,1,,0.03,,,0.91,0,,20,20,5,100,0,0,0,20,20,0,0.91,0,20,20,5,100,0,0,0,20,20,0,0.91,0,
North Macedonia,Bosnia and Herzegovina,2018,Exports & Imports,588,517,20.09,12.92,24458.6,93331.95,68873.35,0.76,1.35,0,0,1475,0,100,0,0,0,0,0,953.92,60412.53,10.27,11.21,1475,70.31,21.56,0.14,8,50,0,297.01,47265.23,14101.22,1
North Macedonia,Belarus,2018,Exports & Imports,20,87,0.68,2.17,101.23,2104.23,2002.99,0.02,0.03,8.56,3.17,229,57.64,38.43,0,3.93,50,0,0,875.1,1120.3,8.56,3.17,229,57.64,38.43,0,3.93,50,0,0,875.1,1120.3,
North Macedonia,Belize,2018,Exports & Imports,,3,,0.07,,,59.41,0,,0,0,8,0,100,0,0,0,0,0,0,59.41,0,0,8,0,100,0,0,0,0,0,0,59.41,
