Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Malta,Afghanistan,2018,Exports & Imports,,2,,0.05,,,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Angola,2018,Exports & Imports,19,1,1.07,0.03,6728.42,6728.57,0.15,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Albania,2018,Exports & Imports,17,46,0.96,1.22,-10747.69,271.44,11019.13,0.15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Andorra,2018,Exports & Imports,,2,,0.05,,,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,United Arab Emirates,2018,Exports & Imports,279,446,15.69,11.8,-41302.42,18557.98,59860.4,0.83,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Argentina,2018,Exports & Imports,8,52,0.45,1.38,-2640.98,170.89,2811.87,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Armenia,2018,Exports & Imports,1,5,0.06,0.13,-180.97,2.01,182.98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Antigua and Barbuda,2018,Exports & Imports,,1,,0.03,,,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Australia,2018,Exports & Imports,122,341,6.86,9.02,-166.7,5401.2,5567.9,0.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Austria,2018,Exports & Imports,32,565,1.8,14.95,-11804.85,10624.65,22429.5,0.31,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Azerbaijan,2018,Exports & Imports,1,3,0.06,0.08,-8.78,0.41,9.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Belgium,2018,Exports & Imports,48,1171,2.7,30.99,-170004.95,9452.78,179457.74,2.49,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bonaire,2018,Exports & Imports,,1,,0.03,,,2.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bangladesh,2018,Exports & Imports,29,39,1.63,1.03,6171.48,6507.72,336.25,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bulgaria,2018,Exports & Imports,17,248,0.96,6.56,-5072.37,10556.29,15628.66,0.22,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bahrain,2018,Exports & Imports,19,70,1.07,1.85,1383.76,1644.6,260.85,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,"Bahamas, The",2018,Exports & Imports,3,2,0.17,0.05,242.61,242.99,0.39,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bosnia and Herzegovina,2018,Exports & Imports,3,15,0.17,0.4,-1450.1,134.14,1584.24,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Belarus,2018,Exports & Imports,2,18,0.11,0.48,-38.68,5.17,43.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bermuda,2018,Exports & Imports,1,3,0.06,0.08,0.03,4.72,4.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Bolivia,2018,Exports & Imports,,2,,0.05,,,0.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Brazil,2018,Exports & Imports,35,101,1.97,2.67,-19534.57,5555.37,25089.94,0.35,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Barbados,2018,Exports & Imports,4,1,0.23,0.03,141.24,141.44,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Brunei,2018,Exports & Imports,,2,,0.05,,,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Botswana,2018,Exports & Imports,2,2,0.11,0.05,-1144.45,133.87,1278.32,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Canada,2018,Exports & Imports,99,388,5.57,10.27,-63351.74,22758.54,86110.28,1.2,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Switzerland,2018,Exports & Imports,279,863,15.69,22.84,-21482.47,20306.79,41789.25,0.58,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Chile,2018,Exports & Imports,9,30,0.51,0.79,13827.63,17931.01,4103.38,0.06,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,China,2018,Exports & Imports,172,1769,9.67,46.81,-222903.88,38001.44,260905.32,3.62,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Cote d'Ivoire,2018,Exports & Imports,13,4,0.73,0.11,-107.18,186.86,294.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Cameroon,2018,Exports & Imports,17,4,0.96,0.11,-9690.77,6294.68,15985.45,0.22,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,"Congo, Rep.",2018,Exports & Imports,2,2,0.11,0.05,878.3,894.81,16.51,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Colombia,2018,Exports & Imports,6,35,0.34,0.93,-2373.19,385.64,2758.83,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
