Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Montenegro,Aruba,2018,Exports & Imports,,1,,0.03,,,1.25,0,,1,1,4,100,0,0,0,1,1,0,1.25,0,1,1,4,100,0,0,0,1,1,0,1.25,0,
Montenegro,Afghanistan,2018,Exports & Imports,1,2,0.06,0.05,91.07,91.97,0.9,0,0.02,0,0,3,0,100,0,0,0,0,0,0,0.9,6.5,7.25,3,100,0,0,0,8,5,0,0.9,0,1
Montenegro,Angola,2018,Exports & Imports,,1,,0.03,,,0.49,0,,0,0,1,0,100,0,0,0,0,0,0,0.49,5,5,1,100,0,0,0,5,5,0,0.49,0,1
Montenegro,Albania,2018,Exports & Imports,558,449,32.39,12.16,-35260.2,15286.05,50546.25,1.68,3.28,0,0,1024,0,100,0,0,0,0,0,1890.88,48497.66,5.29,5.94,1024,69.24,30.76,0,0,30,0,0,33834.84,16553.71,1
Montenegro,Andorra,2018,Exports & Imports,,1,,0.03,,,100.27,0,,0,0,1,0,100,0,0,0,0,0,0,100.27,0,0,1,0,100,0,0,0,0,0,0,100.27,
Montenegro,United Arab Emirates,2018,Exports & Imports,64,74,3.71,2,1714.63,1973.99,259.36,0.01,0.42,5.68,3.45,199,78.39,21.61,0,0,30,0,0,172.23,77.42,5.68,3.45,199,78.39,21.61,0,0,30,0,0,172.23,77.42,
Montenegro,Argentina,2018,Exports & Imports,,54,,1.46,,,2962.39,0.1,,6.81,7.18,258,63.18,14.34,0,22.48,34.44,0,0,2612.96,284.73,6.81,7.18,258,63.18,14.34,0,22.48,34.44,0,0,2612.96,284.73,
Montenegro,Armenia,2018,Exports & Imports,,6,,0.16,,,17.83,0,,13.03,9.59,45,95.56,4.44,0,0,20,0,0,17.83,0,13.03,9.59,45,95.56,4.44,0,0,20,0,0,17.83,0,
Montenegro,American Samoa,2018,Exports & Imports,,1,,0.03,,,0.03,0,,0,0,2,0,100,0,0,0,0,0,0,0.03,0,0,2,0,100,0,0,0,0,0,0,0.03,
Montenegro,Fr. So. Ant. Tr,2018,Exports & Imports,,1,,0.03,,,1.47,0,,3,3,2,100,0,0,0,5,1,0,1.47,0,3,3,2,100,0,0,0,5,1,0,1.47,0,
Montenegro,Australia,2018,Exports & Imports,27,156,1.57,4.23,294.89,677.15,382.26,0.01,0.15,5.55,9.39,481,61.54,25.36,0,13.1,34.44,0,0,238.1,140.87,5.55,9.39,481,61.54,25.36,0,13.1,34.44,0,0,238.1,140.87,
Montenegro,Austria,2018,Exports & Imports,106,990,6.15,26.82,-45271.92,2890.66,48162.58,1.6,0.62,0.19,0.86,2342,2.73,93.6,0,3.67,34.44,0,0,4803.5,42214.27,3.99,4.93,2342,62.85,32.41,0,4.74,36.55,0,0,28265.22,18752.55,1
Montenegro,Azerbaijan,2018,Exports & Imports,6,2,0.35,0.05,2.44,2.54,0.1,0,0,30,30,1,100,0,0,0,30,30,0,0.08,0,30,30,1,100,0,0,0,30,30,0,0.08,0,
Montenegro,Burundi,2018,Exports & Imports,,2,,0.05,,,3.3,0,,0,0,2,0,100,0,0,0,0,0,0,3.3,10,10,2,100,0,0,0,10,10,0,3.3,0,1
Montenegro,Belgium,2018,Exports & Imports,105,662,6.09,17.94,-13046.86,1066.77,14113.63,0.47,0.23,0.07,0.16,1542,0.97,99.03,0,0,15,0,0,634.35,13100.21,4.26,4.53,1542,71.85,26.85,0,1.3,30,0,0,9671.63,4062.93,1
Montenegro,Benin,2018,Exports & Imports,,1,,0.03,,,0.98,0,,0,0,7,0,100,0,0,0,0,0,0,0.98,10,10,7,100,0,0,0,10,10,0,0.98,0,1
Montenegro,Burkina Faso,2018,Exports & Imports,,6,,0.16,,,0.08,0,,0,0,15,0,100,0,0,0,0,0,0,0.08,2.36,5.8,15,80,20,0,0,10,0,0,0.08,0,1
Montenegro,Bangladesh,2018,Exports & Imports,9,221,0.52,5.99,-7253.43,169.38,7422.81,0.25,0.04,0.05,0.12,467,1.07,98.93,0,0,15,0,0,79.55,7343.1,8.69,9.85,467,86.3,13.7,0,0,20,0,0,7416.32,6.33,1
Montenegro,Bulgaria,2018,Exports & Imports,41,610,2.38,16.53,-13211.79,3626.16,16837.95,0.56,0.78,0,0,1513,0,100,0,0,0,0,0,55.57,16140.52,4.51,5.6,1513,69,31,0,0,30,0,0,13184.5,3011.59,1
Montenegro,Bahrain,2018,Exports & Imports,,1,,0.03,,,0.23,0,,5,5,1,100,0,0,0,5,5,0,0.23,0,5,5,1,100,0,0,0,5,5,0,0.23,0,
Montenegro,"Bahamas, The",2018,Exports & Imports,,2,,0.05,,,0.12,0,,5,9.56,8,12.5,87.5,0,0,10,0,0,0.12,0.01,5,9.56,8,12.5,87.5,0,0,10,0,0,0.12,0.01,
Montenegro,Bosnia and Herzegovina,2018,Exports & Imports,338,958,19.62,25.95,-146648.64,36552.36,183201,6.1,7.84,0.05,0.01,2395,0.84,97.16,0,2,34.44,0,0,851.17,179871.6,5.27,6.88,2395,67.6,28.64,0,3.76,45,0,0,87468.13,93254.64,1
Montenegro,Belarus,2018,Exports & Imports,,66,,1.79,,,782.05,0.03,,6.79,1.23,145,60.69,39.31,0,0,30,0,0,89.77,430.13,6.79,1.23,145,60.69,39.31,0,0,30,0,0,89.77,430.13,
Montenegro,Belize,2018,Exports & Imports,,1,,0.03,,,0.05,0,,1,1,1,100,0,0,0,1,1,0,0.05,0,1,1,1,100,0,0,0,1,1,0,0.05,0,
Montenegro,Bolivia,2018,Exports & Imports,1,14,0.06,0.38,-65.74,1.35,67.1,0,0,3.51,0.33,34,73.53,26.47,0,0,10,0,0,3.73,62.83,3.51,0.33,34,73.53,26.47,0,0,10,0,0,3.73,62.83,
Montenegro,Brazil,2018,Exports & Imports,2,173,0.12,4.69,-9064.27,21.84,9086.1,0.3,0,4.32,7.27,490,74.69,24.69,0,0.61,20.92,0,0,8397.13,685.49,4.32,7.27,490,74.69,24.69,0,0.61,20.92,0,0,8397.13,685.49,
Montenegro,Barbados,2018,Exports & Imports,,5,,0.14,,,5.88,0,,11.3,19.2,15,100,0,0,0,20,6.5,0,5.88,0,11.3,19.2,15,100,0,0,0,20,6.5,0,5.88,0,
