Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Netherlands,Aruba,2018,Exports & Imports,1215,174,27.21,3.86,22886.2,133121.06,110234.86,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Afghanistan,2018,Exports & Imports,578,74,12.95,1.64,35194.39,38802.62,3608.23,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Angola,2018,Exports & Imports,927,143,20.76,3.17,128828.41,161046.22,32217.81,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Anguila,2018,Exports & Imports,89,1,1.99,0.02,820.53,821.02,0.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Albania,2018,Exports & Imports,894,183,20.02,4.06,97551.49,104673.38,7121.89,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Andorra,2018,Exports & Imports,584,119,13.08,2.64,16116.73,18678.63,2561.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,United Arab Emirates,2018,Exports & Imports,2669,1507,59.78,33.44,1795068.02,3691246.26,1896178.24,0.38,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Argentina,2018,Exports & Imports,1359,530,30.44,11.76,-474896.64,1000474.52,1475371.15,0.29,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Armenia,2018,Exports & Imports,778,71,17.42,1.58,67486.8,73053.6,5566.8,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Antarctica,2018,Exports & Imports,3,4,0.07,0.09,-13.79,48.48,62.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Fr. So. Ant. Tr,2018,Exports & Imports,28,1,0.63,0.02,1996.43,1997.28,0.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Antigua and Barbuda,2018,Exports & Imports,276,25,6.18,0.55,8282.96,8644.02,361.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Australia,2018,Exports & Imports,2523,1626,56.51,36.09,2112095.28,3557875.58,1445780.3,0.29,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Austria,2018,Exports & Imports,3697,3982,82.8,88.37,3739344.28,7167231.31,3427887.03,0.68,1.29,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Azerbaijan,2018,Exports & Imports,1276,122,28.58,2.71,102071.59,201893.87,99822.28,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Burundi,2018,Exports & Imports,158,11,3.54,0.24,11604.72,11661.82,57.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Belgium,2018,Exports & Imports,4083,4085,91.44,90.66,4453205.46,56273988.07,51820782.62,10.35,10.12,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Benin,2018,Exports & Imports,422,29,9.45,0.64,112700.47,116415.21,3714.74,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bonaire,2018,Exports & Imports,1113,98,24.93,2.17,76620.75,77953.35,1332.6,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Burkina Faso,2018,Exports & Imports,636,33,14.24,0.73,68590.29,79835.83,11245.54,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bangladesh,2018,Exports & Imports,803,430,17.98,9.54,-1348171.29,278664.79,1626836.08,0.33,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bulgaria,2018,Exports & Imports,3584,4072,80.27,90.37,419121.97,1203748.43,784626.46,0.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bahrain,2018,Exports & Imports,1311,378,29.36,8.39,18628.88,222060.57,203431.68,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"Bahamas, The",2018,Exports & Imports,385,32,8.62,0.71,74711.19,76600.69,1889.49,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bosnia and Herzegovina,2018,Exports & Imports,1501,458,33.62,10.16,99233.4,213658.96,114425.55,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Saint Barthélemy,2018,Exports & Imports,117,4,2.62,0.09,1394.11,1400.46,6.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Belarus,2018,Exports & Imports,1421,315,31.83,6.99,52458.89,277970.15,225511.26,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Belize,2018,Exports & Imports,127,16,2.84,0.36,1343.04,7525.42,6182.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bermuda,2018,Exports & Imports,188,29,4.21,0.64,6808.78,82912.3,76103.53,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bolivia,2018,Exports & Imports,545,88,12.21,1.95,51174.02,65612.48,14438.46,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Brazil,2018,Exports & Imports,1823,1393,40.83,30.91,-1480352.53,2821031.46,4301383.99,0.86,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Barbados,2018,Exports & Imports,483,29,10.82,0.64,11163.4,16781.57,5618.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Brunei,2018,Exports & Imports,349,24,7.82,0.53,33427.65,34151.92,724.27,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bhutan,2018,Exports & Imports,51,4,1.14,0.09,755.64,1273.73,518.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Bunkers,2018,Exports & Imports,1246,21,27.91,0.47,6229482.75,6229754.77,272.02,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Botswana,2018,Exports & Imports,168,27,3.76,0.6,2863.25,5603.62,2740.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Central African Republic,2018,Exports & Imports,393,17,8.8,0.38,14882.02,14894.42,12.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Canada,2018,Exports & Imports,2460,2240,55.1,49.71,2626646.42,4564081.96,1937435.54,0.39,0.82,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cocos (Keeling) Islands,2018,Exports & Imports,5,4,0.11,0.09,-5.3,133.98,139.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Switzerland,2018,Exports & Imports,3556,2666,79.64,59.17,4312026.62,6982293.52,2670266.9,0.53,1.26,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Chile,2018,Exports & Imports,1640,561,36.73,12.45,-206339.27,792097.67,998436.93,0.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,China,2018,Exports & Imports,2899,3485,64.93,77.34,-32549743.24,13469206.65,46018949.89,9.19,2.42,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cote d'Ivoire,2018,Exports & Imports,1031,144,23.09,3.2,-1358234.44,385315.47,1743549.91,0.35,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cameroon,2018,Exports & Imports,831,115,18.61,2.55,-184572.89,176602.82,361175.7,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"Congo, Rep.",2018,Exports & Imports,692,48,15.5,1.07,27610.71,59506.48,31895.78,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cook Islands,2018,Exports & Imports,13,2,0.29,0.04,330.95,345.96,15.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Colombia,2018,Exports & Imports,1300,597,29.12,13.25,-376513.62,501490.3,878003.92,0.18,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Comoros,2018,Exports & Imports,81,2,1.81,0.04,1964.27,3096.14,1131.87,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cape Verde,2018,Exports & Imports,411,19,9.2,0.42,69120.11,69525.14,405.04,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Costa Rica,2018,Exports & Imports,826,230,18.5,5.1,-719238.27,88663.39,807901.67,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cuba,2018,Exports & Imports,650,37,14.56,0.82,190811.97,195755.46,4943.49,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Curaçao,2018,Exports & Imports,1803,333,40.38,7.39,281289.86,291316.52,10026.66,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cayman Islands,2018,Exports & Imports,94,15,2.11,0.33,854641.84,1325290.34,470648.5,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Cyprus,2018,Exports & Imports,3748,3331,83.94,73.92,484845.55,562069.83,77224.28,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Czech Republic,2018,Exports & Imports,3642,4040,81.57,89.66,2474732.31,8648042.37,6173310.06,1.23,1.56,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Germany,2018,Exports & Imports,4120,4245,92.27,94.21,32238906.54,120452830,88213923.46,17.62,21.67,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Djibouti,2018,Exports & Imports,335,27,7.5,0.6,24122.98,27182.9,3059.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Dominica,2018,Exports & Imports,83,5,1.86,0.11,4517.38,4993.48,476.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Denmark,2018,Exports & Imports,3718,3999,83.27,88.75,2557146.3,7215497.63,4658351.33,0.93,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Dominican Republic,2018,Exports & Imports,833,195,18.66,4.33,75552.48,258811.31,183258.82,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Algeria,2018,Exports & Imports,921,146,20.63,3.24,-433883.92,758315.06,1192198.98,0.24,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,East Asia & Pacific,2018,Exports & Imports,3835,3879,85.89,86.09,-52623618.89,43720605.55,96344224.44,19.24,7.86,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Europe & Central Asia,2018,Exports & Imports,4434,4455,99.31,98.87,107261917.6,415047267.9,307785350.3,61.48,74.66,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Ecuador,2018,Exports & Imports,877,235,19.64,5.22,147256.1,505895.74,358639.64,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"Egypt, Arab Rep.",2018,Exports & Imports,1923,816,43.07,18.11,1112415.16,1520618.97,408203.81,0.08,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eritrea,2018,Exports & Imports,270,16,6.05,0.36,5140.49,5158.85,18.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Western Sahara,2018,Exports & Imports,2,1,0.04,0.02,82.43,85.96,3.54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Spain,2018,Exports & Imports,3766,4012,84.34,89.04,6612912.2,16737356.1,10124443.9,2.02,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Estonia,2018,Exports & Imports,3560,3860,79.73,85.66,714749.76,1057949.55,343199.79,0.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Ethiopia(excludes Eritrea),2018,Exports & Imports,895,173,20.04,3.84,107932.7,271351.47,163418.77,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Finland,2018,Exports & Imports,3641,4035,81.55,89.55,393693.61,5396506.02,5002812.41,1,0.97,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Fiji,2018,Exports & Imports,184,33,4.12,0.73,11103.53,13107.49,2003.96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Falkland Island,2018,Exports & Imports,55,5,1.23,0.11,860.65,915.18,54.53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,France,2018,Exports & Imports,3935,4087,88.13,90.7,24066915.04,43457560.34,19390645.3,3.87,7.82,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Faeroe Islands,2018,Exports & Imports,643,31,14.4,0.69,19437.74,46754.35,27316.61,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"Micronesia, Fed. Sts.",2018,Exports & Imports,8,3,0.18,0.07,159.37,174.51,15.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
