Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Norway,Aruba,2018,Exports & Imports,29,4,0.8,0.09,847.44,867.86,20.42,0,0,0,0,3,0,100,0,0,0,0,0,0,19.03,0,0,3,0,100,0,0,0,0,0,0,19.03,
Norway,Afghanistan,2018,Exports & Imports,136,32,3.74,0.73,1487.64,1637.55,149.91,0,0,0.81,0.19,42,4.76,92.86,0,2.38,10.7,0,0,3.39,146.52,2.15,0.61,42,9.52,83.33,0,7.14,22.73,0,0,9.06,140.86,1
Norway,Angola,2018,Exports & Imports,388,83,10.67,1.9,146701.96,161811.46,15109.51,0.02,0.13,0,0,138,0,100,0,0,0,0,0,0,15109.23,0.18,0,138,0.72,98.55,0,0.72,11.73,0,0,4.37,15104.86,1
Norway,Albania,2018,Exports & Imports,48,149,1.32,3.42,-2201.37,2984.14,5185.51,0.01,0,0.63,0.04,201,0,98.51,0,1.49,85.3,0,0,6.31,4921.14,5.98,3.85,201,47.76,50.75,0,1.49,85.3,0,0,2076.47,2850.98,1
Norway,Andorra,2018,Exports & Imports,8,61,0.22,1.4,-2457.69,115.61,2573.3,0,0,0,0,107,0,100,0,0,0,0,0,0,2573.3,0,0,107,0,100,0,0,0,0,0,0,2573.3,2
Norway,United Arab Emirates,2018,Exports & Imports,751,510,20.65,11.7,301557.42,327391.78,25834.36,0.03,0.27,1.67,0.3,852,1.17,95.31,0,3.52,240.37,0,0,258.94,22956.36,3.3,0.61,852,13.5,82.86,0,3.64,240.37,0,0,938.08,22277.22,1
Norway,Argentina,2018,Exports & Imports,202,202,5.55,4.63,35969.91,73501.4,37531.49,0.04,0.06,10.48,13.65,394,1.52,82.49,0,15.99,460.17,0,0,19657.26,17240.93,12.93,15.55,394,4.82,76.4,0,18.78,511.33,0,0,19693.25,17204.94,1
Norway,Armenia,2018,Exports & Imports,20,34,0.55,0.78,411.18,642.72,231.54,0,0,2.83,7.05,47,19.15,80.85,0,0,10.7,0,0,152.46,79.09,7.73,9.49,47,65.96,34.04,0,0,10.7,0,0,209.09,22.45,1
Norway,American Samoa,2018,Exports & Imports,,2,,0.05,,,2.22,0,,0,0,2,0,100,0,0,0,0,0,0,2.22,0,0,2,0,100,0,0,0,0,0,0,2.22,
Norway,Australia,2018,Exports & Imports,802,1004,22.05,23.03,75673.91,293531.8,217857.89,0.25,0.24,3.85,0.5,1588,9.32,84.01,0,6.68,614.7,0,0,3382.31,210723.9,3.85,0.5,1588,9.32,84.01,0,6.68,614.7,0,0,3382.31,210723.9,
Norway,Austria,2018,Exports & Imports,720,1953,19.8,44.8,-515004.42,271955.69,786960.11,0.9,0.22,2.77,2.58,2930,0.24,93.58,0,6.18,614.7,0,0,18148.87,609915.47,4.13,3.11,2930,6.66,86.45,0,6.89,614.7,0,0,20073.59,607990.75,2
Norway,Azerbaijan,2018,Exports & Imports,334,58,9.18,1.33,141229.66,147641.56,6411.89,0.01,0.12,0.94,0.03,100,0,96,0,4,144.12,0,0,2.96,6408.79,2.54,0.07,100,0,92,0,8,169.55,0,0,2.96,6408.79,1
Norway,Burundi,2018,Exports & Imports,8,7,0.22,0.16,-40.38,75.41,115.8,0,0,11.54,0.46,20,0,65,0,35,127.26,0,0,1.27,114.52,11.54,0.46,20,0,65,0,35,127.26,0,0,1.27,114.52,
Norway,Belgium,2018,Exports & Imports,1029,2515,28.29,57.7,5045622.67,6412227.4,1366604.73,1.56,5.23,3.51,8.66,3807,0.66,90.86,0,8.48,393.52,0,0,322588.09,910746.95,4.87,10.39,3807,6.86,83.82,0,9.32,495,0,0,332705.88,900629.16,2
Norway,Benin,2018,Exports & Imports,54,1,1.48,0.02,6654.6,6655.11,0.52,0,0.01,0,0,1,0,100,0,0,0,0,0,0,0.52,0,0,1,0,100,0,0,0,0,0,0,0.52,1
Norway,Bonaire,2018,Exports & Imports,,2,,0.05,,,7.95,0,,0,0,3,0,100,0,0,0,0,0,0,7.95,0,0,3,0,100,0,0,0,0,0,0,7.95,
Norway,Burkina Faso,2018,Exports & Imports,17,8,0.47,0.18,422.46,829.94,407.49,0,0,0,0,13,0,100,0,0,0,0,0,0,407.49,0,0,13,0,100,0,0,0,0,0,0,407.49,
Norway,Bangladesh,2018,Exports & Imports,129,413,3.55,9.47,-208886.3,64275.13,273161.43,0.31,0.05,3.32,4.27,618,29.13,70.55,0,0.32,80.56,0,0,113332.24,159737.2,6.16,9.03,618,38.51,56.31,0,5.18,249,0,0,237465.17,35604.27,1
Norway,Bulgaria,2018,Exports & Imports,313,977,8.61,22.41,-70923.92,29808.78,100732.7,0.12,0.02,1.96,6.31,1582,0.63,92.6,0,6.76,277,0,0,14673.11,84131.28,4.67,8.06,1582,15.04,77.56,0.06,7.33,495,0,11.29,29295.2,69509.18,2
Norway,Bahrain,2018,Exports & Imports,119,40,3.27,0.92,-6244.55,17631.08,23875.63,0.03,0.01,0.27,0,78,1.28,98.72,0,0,10.7,0,0,0.6,23872.5,1.28,0,78,11.54,88.46,0,0,10.7,0,0,3.7,23869.41,1
Norway,"Bahamas, The",2018,Exports & Imports,172,16,4.73,0.37,18485.73,18888.15,402.42,0,0.02,0,0,31,0,100,0,0,0,0,0,0,402.42,0,0,31,0,100,0,0,0,0,0,0,402.42,
Norway,Bosnia and Herzegovina,2018,Exports & Imports,128,346,3.52,7.94,-24342.6,4014.1,28356.7,0.03,0,1.49,1.49,641,0.31,94.23,0,5.46,240.37,0,0,665.43,27305.76,3.93,2.14,641,16.22,78,0,5.77,240.37,0,0,2396.97,25574.22,1
Norway,Belarus,2018,Exports & Imports,86,164,2.36,3.76,20969.42,135696.69,114727.27,0.13,0.11,2.93,28.23,299,3.01,93.31,0,3.68,159.44,0,0,53264.65,10981.28,5.08,31.43,299,14.38,80.94,0,4.68,177.24,0,0,53354.36,10891.57,1
Norway,Belize,2018,Exports & Imports,4,1,0.11,0.02,125.78,127.86,2.07,0,0,78.98,78.98,3,0,0,0,100,113.37,10.21,0,2.07,0,81.78,81.78,3,0,0,0,100,113.37,18.61,0,2.07,0,1
Norway,Bermuda,2018,Exports & Imports,184,11,5.06,0.25,2354.5,2419.48,64.99,0,0,1.36,0.13,17,17.65,82.35,0,0,10.7,0,0,0.98,64.01,1.36,0.13,17,17.65,82.35,0,0,10.7,0,0,0.98,64.01,
Norway,Bolivia,2018,Exports & Imports,88,66,2.42,1.51,5449.06,8376.05,2926.99,0,0.01,4.58,1.37,123,11.38,80.49,0,8.13,93.54,0,0,400.45,2526.54,7.21,1.82,123,29.27,62.6,0,8.13,103.93,0,0,508.4,2418.59,1
Norway,Brazil,2018,Exports & Imports,678,733,18.64,16.82,-963900.6,467494.26,1431394.85,1.64,0.38,4.75,8.6,1198,1.17,91.99,0,6.84,522.49,0,0,460083.59,969817.52,6.58,10.25,1198,6.09,85.64,0,8.26,614.7,0,0,460149.81,969751.3,1
Norway,Barbados,2018,Exports & Imports,15,4,0.41,0.09,1040.87,1268.93,228.07,0,0,0,0,7,0,100,0,0,0,0,0,0,228.07,0,0,7,0,100,0,0,0,0,0,0,228.07,
Norway,Brunei,2018,Exports & Imports,87,4,2.39,0.09,2237.31,2246.27,8.96,0,0,2.67,0.16,4,25,75,0,0,10.7,0,0,0.13,8.82,2.67,0.16,4,25,75,0,0,10.7,0,0,0.13,8.82,
Norway,Botswana,2018,Exports & Imports,6,14,0.17,0.32,-22233,31.08,22264.08,0.03,0,38.75,231.29,20,10,80,0,10,292,0,0,21883.66,380.42,46.44,272.33,20,20,70,0,10,344,0,0,21884.63,379.45,2
Norway,Central African Republic,2018,Exports & Imports,3,1,0.08,0.02,25.54,27.49,1.95,0,0,0,0,2,0,100,0,0,0,0,0,0,1.95,0,0,2,0,100,0,0,0,0,0,0,1.95,
Norway,Canada,2018,Exports & Imports,895,1540,24.61,35.33,-1157555.62,920278,2077833.62,2.38,0.75,1.47,0.83,2305,0.56,94.19,0,5.25,277,0,0,47386.54,2021310.89,2.47,0.87,2305,7.33,86.64,0,6.03,277,0,0,53901.24,2014796.2,1
Norway,Switzerland,2018,Exports & Imports,866,2118,23.81,48.59,-623709.24,362304.78,986014.03,1.13,0.3,1.93,1.66,3057,0.82,94.64,0,4.55,614.7,0,0,40950.48,855814.16,2.89,1.95,3057,6.74,88.26,0.03,4.97,614.7,0,0.17,42342.72,854421.92,1
Norway,Chile,2018,Exports & Imports,340,207,9.35,4.75,36510.25,157284.82,120774.57,0.14,0.13,5.85,2.45,448,3.13,79.02,0,17.86,249,0,0,16406.56,97216.3,6.96,2.68,448,6.47,74.11,0,19.42,249,0,0,22457.1,91165.77,1
Norway,China,2018,Exports & Imports,1028,3224,28.27,73.96,-6202931.63,2576986.82,8779918.45,10.04,2.1,1.91,1.25,4597,1.54,93.54,0,4.92,596.9,0,0,473010.01,8039538.28,2.96,2.1,4597,6.26,87.82,0.02,5.9,663.25,0,0.41,1116111.58,7396436.71,1
Norway,Cote d'Ivoire,2018,Exports & Imports,172,35,4.73,0.8,995.26,8537.42,7542.16,0.01,0.01,2.05,0.01,90,1.11,96.67,0,2.22,230.36,0,0,1.56,7540.39,21.29,102.21,90,7.78,67.78,0,24.44,249,0,0,5091.53,2450.42,1
Norway,Cameroon,2018,Exports & Imports,176,47,4.84,1.08,85513.7,85775.67,261.97,0,0.07,4.84,0.45,120,0.83,81.67,0,17.5,190.3,0,0,2.54,184.93,6.74,0.57,120,4.17,77.5,0,18.33,190.3,0,0,2.78,184.69,1
Norway,"Congo, Rep.",2018,Exports & Imports,154,26,4.23,0.6,34235.61,40466.88,6231.27,0.01,0.03,2.25,0,61,0,88.52,0,11.48,127.26,0,0,0.41,6230.86,2.25,0,61,0,88.52,0,11.48,127.26,0,0,0.41,6230.86,
Norway,Cook Islands,2018,Exports & Imports,3,1,0.08,0.02,939.35,939.93,0.58,0,0,0,0,2,0,100,0,0,0,0,0,0,0.58,0,0,2,0,100,0,0,0,0,0,0,0.58,1
Norway,Colombia,2018,Exports & Imports,119,190,3.27,4.36,-138809.58,25310.72,164120.3,0.19,0.02,3.67,3.01,366,3.28,92.9,0,3.83,249,0,0,2964.01,111916.23,7.13,3.12,366,19.67,74.59,0,5.74,249,0,0,3182.2,111698.04,1
Norway,Comoros,2018,Exports & Imports,,6,,0.14,,,20.2,0,,0,0,8,0,100,0,0,0,0,0,0,20.2,0,0,8,0,100,0,0,0,0,0,0,20.2,
Norway,Costa Rica,2018,Exports & Imports,48,158,1.32,3.62,-42472.12,10359.94,52832.06,0.06,0.01,3.26,2.49,311,5.79,83.6,0,10.61,230.36,0,0,3071.78,49757.47,4.98,3.11,311,11.58,76.85,0,11.58,249,0,0,3472.16,49357.09,1
Norway,Cuba,2018,Exports & Imports,20,18,0.55,0.41,-1397.03,351.03,1748.06,0,0,10.41,2.47,41,0,80.49,0,19.51,110.23,0,0,119.78,1628.28,15.33,3.03,41,0,60.98,0,39.02,129.64,0,0,130.52,1617.54,1
Norway,Curaçao,2018,Exports & Imports,72,3,1.98,0.07,2319.27,2433.25,113.98,0,0,0,0,4,0,100,0,0,0,0,0,0,113.98,0,0,4,0,100,0,0,0,0,0,0,113.98,
Norway,Cayman Islands,2018,Exports & Imports,24,2,0.66,0.05,5550.86,5581.59,30.72,0,0,0,0,5,0,100,0,0,0,0,0,0,30.72,0,0,5,0,100,0,0,0,0,0,0,30.72,
Norway,Cyprus,2018,Exports & Imports,283,227,7.78,5.21,14906.89,28892.3,13985.41,0.02,0.02,3.24,7.63,385,1.3,91.17,0,7.53,277,0,0,1170.62,12755.54,5.72,7.85,385,16.62,74.29,0,9.09,277,0,0,1412.73,12513.42,2
Norway,Czech Republic,2018,Exports & Imports,632,1876,17.38,43.04,-772248.61,244304.23,1016552.83,1.16,0.2,1.42,0.51,2803,0.32,95.33,0,4.35,291.48,0,0,14035.14,970514.39,2.43,0.86,2803,7.49,87.58,0,4.92,291.48,0,0,21591.71,962957.82,2
Norway,Germany,2018,Exports & Imports,2087,3760,57.38,86.26,10061772.17,19593251.99,9531479.82,10.9,15.98,5.99,2.8,5423,0.79,90.93,0,8.28,2197.22,0,0,390025.41,7651801.14,7.11,3.35,5423,6.32,84.66,0.02,9,2197.22,0,99.3,465669.02,7576157.54,2
Norway,Djibouti,2018,Exports & Imports,16,1,0.44,0.02,548.97,555.26,6.29,0,0,0,0,3,0,100,0,0,0,0,0,0,6.29,0,0,3,0,100,0,0,0,0,0,0,6.29,
Norway,Dominica,2018,Exports & Imports,3,4,0.08,0.09,162.67,168.68,6,0,0,0,0,4,0,100,0,0,0,0,0,0,6,0,0,4,0,100,0,0,0,0,0,0,6,1
Norway,Denmark,2018,Exports & Imports,2416,3505,66.43,80.41,889203.81,5681438.06,4792234.25,5.48,4.63,7.06,5.86,5201,0.81,90.06,0,9.13,2197.22,0,0,819380.41,3866413.63,8.24,6.84,5201,6.58,83.56,0.02,9.84,2197.22,0,2.18,931557.28,3754236.77,2
Norway,Dominican Republic,2018,Exports & Imports,66,138,1.81,3.17,35714.42,49475.9,13761.48,0.02,0.04,1.3,0.03,231,4.33,88.74,0,6.93,144.12,0,0,48.65,13712.67,4.52,0.2,231,15.58,72.29,0,12.12,230.36,0,0,245.39,13515.93,1
Norway,Algeria,2018,Exports & Imports,155,26,4.26,0.6,54506.98,67093.9,12586.92,0.01,0.05,3.8,0.02,36,2.78,91.67,0,5.56,190.3,0,0,3.67,12583.25,5.9,0.04,36,2.78,88.89,0,8.33,190.3,0,0,3.67,12583.25,1
Norway,East Asia & Pacific,2018,Exports & Imports,1897,3516,52.16,80.66,-7793608.64,7582829.42,15376438.06,17.59,6.18,2.28,1.13,24591,4.54,90.25,0,5.21,663.25,0,0,649656.35,13921947.65,4.13,1.79,5107,6.25,86.35,0,1.53,663.25,0,1.08,1456328.8,13115275.2,16
Norway,Europe & Central Asia,2018,Exports & Imports,3563,4312,97.97,98.92,45333048.24,103203864.8,57870816.51,66.18,84.15,3.98,3.74,91749,0.92,91.67,0,7.42,2197.22,0,0,6340311.97,46025666.09,8.54,4.62,6312,5.7,84.49,0,0.67,2197.22,0,288.71,7300373.61,45065604.45,80
Norway,Ecuador,2018,Exports & Imports,100,128,2.75,2.94,-19772.66,7207.02,26979.68,0.03,0.01,6.74,1.25,277,8.3,81.95,0,9.75,211.7,0,0,627,26352.06,10.82,2.39,277,13,71.84,0,15.16,249,0,0,1492.79,25486.27,1
Norway,"Egypt, Arab Rep.",2018,Exports & Imports,406,379,11.16,8.69,365815.91,398944.47,33128.56,0.04,0.33,4.04,3,666,1.65,83.93,0,14.41,240.37,0,0,3641.05,28710.4,6.62,4.01,666,17.57,67.12,0,15.32,240.37,0,0,6150.85,26200.61,1
Norway,Eritrea,2018,Exports & Imports,35,3,0.96,0.07,121.84,136.5,14.66,0,0,0,0,6,0,100,0,0,0,0,0,0,14.66,0,0,6,0,100,0,0,0,0,0,0,14.66,
Norway,Spain,2018,Exports & Imports,1317,2544,36.21,58.36,360621.92,2145551.99,1784930.07,2.04,1.75,4.35,6.03,3922,0.82,90.49,0,8.69,663.25,0,0,230658.56,1455754.29,5.76,7.26,3922,7.8,82.51,0.03,9.66,663.25,0,1.88,243177.62,1443235.23,2
Norway,Estonia,2018,Exports & Imports,968,1445,26.62,33.15,-521359.06,195266.42,716625.48,0.82,0.16,2.45,2.19,2277,0.31,94.33,0,5.36,370.52,0,0,20306.7,503072.92,3.81,3.2,2277,10.63,83.4,0,5.97,370.52,0,0,48655.11,474724.51,2
Norway,Ethiopia(excludes Eritrea),2018,Exports & Imports,140,86,3.85,1.97,-10337.48,2851.75,13189.23,0.02,0,3.29,0.75,198,7.58,89.39,0,3.03,230.36,0,0,328.85,12859.93,21.21,99.12,198,21.72,55.05,0,23.23,249,0,0,11517.08,1671.7,1
Norway,Finland,2018,Exports & Imports,1580,2187,43.44,50.17,48076.69,2073312.69,2025236,2.32,1.69,2.08,1.37,3248,0.49,94.8,0,4.71,370.52,0,0,77729,1727003.32,3.03,1.56,3248,6.96,87.72,0.03,5.3,370.52,0,1.24,80359.76,1724372.57,2
