Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Poland,Aruba,2018,Exports & Imports,45,2,1.02,0.04,649.35,649.81,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Afghanistan,2018,Exports & Imports,265,45,6.02,1,8094.39,9596.57,1502.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Angola,2018,Exports & Imports,401,8,9.1,0.18,8393.23,14012.02,5618.79,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Anguila,2018,Exports & Imports,3,13,0.07,0.29,-137.61,155.81,293.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Albania,2018,Exports & Imports,1058,214,24.02,4.76,46234.64,66487.71,20253.07,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Andorra,2018,Exports & Imports,151,58,3.43,1.29,3017.36,4884.65,1867.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,United Arab Emirates,2018,Exports & Imports,1679,624,38.12,13.87,233619.51,529201.17,295581.66,0.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Argentina,2018,Exports & Imports,709,332,16.1,7.38,-579855.72,119031.49,698887.21,0.26,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Armenia,2018,Exports & Imports,1139,107,25.86,2.38,32815.94,44600.47,11784.53,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,American Samoa,2018,Exports & Imports,2,18,0.05,0.4,-107.76,2.4,110.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Antarctica,2018,Exports & Imports,507,4,11.51,0.09,495.75,499.19,3.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Fr. So. Ant. Tr,2018,Exports & Imports,103,8,2.34,0.18,954.45,1142.12,187.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Antigua and Barbuda,2018,Exports & Imports,43,16,0.98,0.36,24290.09,138867.22,114577.13,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Australia,2018,Exports & Imports,1739,1036,39.48,23.03,166227.48,661642.28,495414.8,0.19,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Austria,2018,Exports & Imports,2869,2623,65.13,58.3,616127.96,5146367.29,4530239.33,1.69,1.97,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Azerbaijan,2018,Exports & Imports,1062,36,24.11,0.8,66957.16,80820.86,13863.69,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Burundi,2018,Exports & Imports,21,9,0.48,0.2,458.31,887.96,429.66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Belgium,2018,Exports & Imports,2896,2928,65.74,65.08,-537924.18,6105069.12,6642993.3,2.48,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Benin,2018,Exports & Imports,119,6,2.7,0.13,28422.37,28518.92,96.55,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bonaire,2018,Exports & Imports,18,1,0.41,0.02,223.77,223.8,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Burkina Faso,2018,Exports & Imports,121,15,2.75,0.33,23869.57,24305.3,435.74,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bangladesh,2018,Exports & Imports,301,756,6.83,16.8,-1768004.51,73244.42,1841248.94,0.69,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bulgaria,2018,Exports & Imports,2610,1371,59.25,30.47,496769.82,1258906.9,762137.08,0.28,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bahrain,2018,Exports & Imports,588,272,13.35,6.05,-33150.5,22315.72,55466.22,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,"Bahamas, The",2018,Exports & Imports,251,13,5.7,0.29,12868.45,362348.24,349479.78,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bosnia and Herzegovina,2018,Exports & Imports,1769,365,40.16,8.11,198322.83,284013.73,85690.9,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Saint Barthélemy,2018,Exports & Imports,13,21,0.3,0.47,-148.47,52.03,200.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Belarus,2018,Exports & Imports,3043,931,69.08,20.69,219682.93,1703091.97,1483409.04,0.55,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Belize,2018,Exports & Imports,62,26,1.41,0.58,492.17,1210.75,718.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bermuda,2018,Exports & Imports,51,12,1.16,0.27,764.93,854.53,89.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bolivia,2018,Exports & Imports,202,59,4.59,1.31,-2245.6,7648.25,9893.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Brazil,2018,Exports & Imports,1091,1045,24.77,23.23,-1331880.26,491194.93,1823075.19,0.68,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Barbados,2018,Exports & Imports,65,14,1.48,0.31,826.65,3170.73,2344.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Brunei,2018,Exports & Imports,109,18,2.47,0.4,2153.69,2276.68,122.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Bhutan,2018,Exports & Imports,25,4,0.57,0.09,-699.15,185.4,884.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
