Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Portugal,Aruba,2018,Exports & Imports,81,2,1.92,0.04,593.02,703.69,110.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Afghanistan,2018,Exports & Imports,21,10,0.5,0.22,75.03,202.35,127.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Angola,2018,Exports & Imports,3333,545,79.21,12.2,754002.87,1927910.97,1173908.1,1.23,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Albania,2018,Exports & Imports,245,25,5.82,0.56,10997.26,11433.34,436.08,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Andorra,2018,Exports & Imports,134,31,3.18,0.69,4029.1,4118.53,89.43,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,United Arab Emirates,2018,Exports & Imports,1273,446,30.25,9.98,124211.15,181004.93,56793.78,0.06,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Argentina,2018,Exports & Imports,514,182,12.21,4.07,48034.73,139077.37,91042.64,0.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Armenia,2018,Exports & Imports,162,29,3.85,0.65,4251.45,4298.25,46.8,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Antigua and Barbuda,2018,Exports & Imports,36,54,0.86,1.21,622.99,661.21,38.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Australia,2018,Exports & Imports,1136,621,27,13.9,186861.74,219971.41,33109.67,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
