Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Romania,Aruba,2018,Exports & Imports,1,1,0.02,0.02,-0.02,0.25,0.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Afghanistan,2018,Exports & Imports,17,2,0.42,0.04,9713.49,10018.21,304.72,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Angola,2018,Exports & Imports,83,2,2.03,0.04,30040.63,30049.17,8.54,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Anguila,2018,Exports & Imports,,1,,0.02,,,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Albania,2018,Exports & Imports,726,197,17.75,4.43,81558.19,126220.18,44661.99,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Andorra,2018,Exports & Imports,56,7,1.37,0.16,297.33,336.37,39.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,United Arab Emirates,2018,Exports & Imports,723,385,17.68,8.66,211581.95,283894.01,72312.06,0.07,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Argentina,2018,Exports & Imports,202,124,4.94,2.79,-13773.48,45072.98,58846.46,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Armenia,2018,Exports & Imports,144,19,3.52,0.43,10870.96,11160.74,289.78,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Antigua and Barbuda,2018,Exports & Imports,5,10,0.12,0.23,0.43,34.78,34.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Australia,2018,Exports & Imports,612,384,14.96,8.64,56414.18,92784.65,36370.47,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Austria,2018,Exports & Imports,1821,3555,44.52,79.98,-1383819.87,1830046.5,3213866.38,3.28,2.29,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Azerbaijan,2018,Exports & Imports,274,24,6.7,0.54,-386356.12,38470.75,424826.86,0.43,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Burundi,2018,Exports & Imports,1,1,0.02,0.02,-158.74,1.05,159.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Belgium,2018,Exports & Imports,1823,3180,44.57,71.54,-892795.93,1428470.06,2321265.99,2.37,1.78,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Benin,2018,Exports & Imports,4,3,0.1,0.07,200.44,617.91,417.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Burkina Faso,2018,Exports & Imports,27,1,0.66,0.02,2163,2166.99,3.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bangladesh,2018,Exports & Imports,62,159,1.52,3.58,-26457.31,15397.45,41854.76,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bulgaria,2018,Exports & Imports,2812,3178,68.75,71.5,-112470.31,2603493.74,2715964.05,2.77,3.25,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bahrain,2018,Exports & Imports,162,34,3.96,0.76,6313.91,6774.55,460.64,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bosnia and Herzegovina,2018,Exports & Imports,514,225,12.57,5.06,11542.92,97251.89,85708.97,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Saint Barthélemy,2018,Exports & Imports,14,1,0.34,0.02,72.93,72.94,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Belarus,2018,Exports & Imports,280,313,6.85,7.04,-55363.79,36635.81,91999.6,0.09,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Belize,2018,Exports & Imports,,1,,0.02,,,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bolivia,2018,Exports & Imports,39,6,0.95,0.14,756.3,908.98,152.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Brazil,2018,Exports & Imports,408,384,9.98,8.64,-243068.02,207994.37,451062.38,0.46,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Barbados,2018,Exports & Imports,2,2,0.05,0.04,-118.14,1.86,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Brunei,2018,Exports & Imports,42,2,1.03,0.04,796.14,796.92,0.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Bhutan,2018,Exports & Imports,,1,,0.02,,,140.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Central African Republic,2018,Exports & Imports,33,1,0.81,0.02,-10.14,22.85,32.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Canada,2018,Exports & Imports,680,812,16.63,18.27,61792.28,205174.3,143382.02,0.15,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Cocos (Keeling) Islands,2018,Exports & Imports,,3,,0.07,,,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Switzerland,2018,Exports & Imports,1380,1684,33.74,37.89,35189.03,532392.18,497203.16,0.51,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Chile,2018,Exports & Imports,190,50,4.65,1.12,39479.94,46021.81,6541.87,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,China,2018,Exports & Imports,966,2848,23.62,64.07,-4327442.01,883553.86,5210995.87,5.32,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Cote d'Ivoire,2018,Exports & Imports,100,28,2.44,0.63,-2284.76,10995.35,13280.11,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Cameroon,2018,Exports & Imports,50,9,1.22,0.2,1740.92,3096.52,1355.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
