Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Russian Federation,Aruba,2018,Exports & Imports,2,1,0.05,0.02,28.3,31.47,3.17,0,0,0,0,5,0,100,0,0,0,0,0,0,3.17,0,0,5,0,100,0,0,0,0,0,0,3.17,1
Russian Federation,Afghanistan,2018,Exports & Imports,243,27,5.57,0.61,114668.45,118660.67,3992.22,0,0.03,2.83,0.21,127,45.67,54.33,0,0,18,0,0,153.56,3817.24,4.85,3.28,127,59.84,37.8,0,2.36,18,0,0,3739.04,231.76,1
Russian Federation,Angola,2018,Exports & Imports,244,23,5.59,0.52,19415.95,49469.28,30053.33,0.01,0.01,2.94,0.01,98,52.04,47.96,0,0,12,0,0,63.34,29989.99,3.73,0.01,98,56.12,43.88,0,0,15,0,0,65.28,29988.05,1
Russian Federation,Anguila,2018,Exports & Imports,,9,,0.2,,,26.95,0,,5.48,5.53,58,79.31,20.69,0,0,10,0,0,26.95,0,5.48,5.53,58,79.31,20.69,0,0,10,0,0,26.95,0,1
Russian Federation,Albania,2018,Exports & Imports,130,190,2.98,4.28,106580.57,125691.01,19110.44,0.01,0.03,5.29,2.12,435,30.34,8.51,0,61.15,17.5,0,0,18870.97,212.55,5.34,2.13,435,30.34,8.51,0,61.15,17.5,0,0,18870.97,212.55,1
Russian Federation,Andorra,2018,Exports & Imports,4,16,0.09,0.36,93.04,98.7,5.67,0,0,3.27,2.39,81,65.43,32.1,0,2.47,10,0,0,2.65,3.02,3.27,2.39,81,65.43,32.1,0,2.47,10,0,0,2.65,3.02,
Russian Federation,United Arab Emirates,2018,Exports & Imports,1272,545,29.15,12.28,1277415.92,1483243.06,205827.14,0.09,0.33,5.57,3.98,1855,61.67,25.18,0.05,13.1,17.5,0,4.16,132720.3,61873.66,5.78,4.06,1855,61.67,25.18,0.05,13.1,17.5,0,4.16,132720.3,61873.66,1
Russian Federation,Argentina,2018,Exports & Imports,241,388,5.52,8.74,-456682.52,394698.45,851380.97,0.35,0.09,5.21,8.81,1717,64.3,23.53,0.06,12.11,60,0,80,730476.96,93911.08,5.78,11.56,1717,64.3,23.53,0.06,12.11,80,0,80,730476.96,93911.08,1
Russian Federation,Armenia,2018,Exports & Imports,2822,1006,64.67,22.66,714332.97,1341378.2,627045.24,0.26,0.3,0,0,3265,0,100,0,0,0,0,0,0,622995.24,6.33,4.87,3265,60.46,18.28,0.43,20.83,20,0,999.55,587328.23,35667,1
Russian Federation,American Samoa,2018,Exports & Imports,,9,,0.2,,,2.93,0,,5.14,3.07,46,82.61,17.39,0,0,13,0,0,1.6,1.33,5.14,3.07,46,82.61,17.39,0,0,13,0,0,1.6,1.33,
Russian Federation,Antigua and Barbuda,2018,Exports & Imports,1,3,0.02,0.07,-0.87,1.52,2.39,0,0,1.67,0.05,10,10,90,0,0,5,0,0,0.03,2.37,1.67,0.05,10,10,90,0,0,5,0,0,0.03,2.37,1
Russian Federation,Australia,2018,Exports & Imports,555,781,12.72,17.59,-530106.61,141046.59,671153.2,0.28,0.03,5.37,1.54,2567,63.97,26.96,0.27,8.8,20,0,1218.17,176890.48,486993.52,5.37,1.54,2567,63.97,26.96,0.27,8.8,20,0,1218.17,176890.48,486993.52,
Russian Federation,Austria,2018,Exports & Imports,541,1884,12.4,42.44,961625.15,3375466.86,2413841.71,1,0.75,5.76,3.95,5173,66.85,22.81,0.79,9.55,18,0,162374.72,1650567.72,576160.93,5.76,3.95,5173,66.85,22.81,0.79,9.55,18,0,162374.72,1650567.72,576160.93,
