Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
"Serbia, FR(Serbia/Montenegro)",Albania,2018,Exports & Imports,1132,366,29.44,8.5,106755.07,159471.08,52716.01,0.2,0.83,0.02,0.02,823,0.24,99.76,0,0,30,0,0,2501.06,50032.3,13.73,14.8,823,98.78,1.22,0,0,30,0,0,48619.36,3914,1
"Serbia, FR(Serbia/Montenegro)",Andorra,2018,Exports & Imports,1,11,0.03,0.26,-47.74,51.66,99.39,0,0,6.36,1.53,54,100,0,0,0,15,1,0,99.4,0,6.36,1.53,54,100,0,0,0,15,1,0,99.4,0,
"Serbia, FR(Serbia/Montenegro)",United Arab Emirates,2018,Exports & Imports,392,192,10.2,4.46,129871.29,157087.47,27216.18,0.11,0.82,8.92,5.21,543,100,0,0,0,30,1,0,2027.98,0,8.92,5.21,543,100,0,0,0,30,1,0,2027.98,0,
"Serbia, FR(Serbia/Montenegro)",Argentina,2018,Exports & Imports,31,170,0.81,3.95,-19826.2,4744.86,24571.06,0.09,0.02,7.89,7.75,613,100,0,0,0,30,1,0,22984.42,0,7.89,7.75,613,100,0,0,0,30,1,0,22984.42,0,
"Serbia, FR(Serbia/Montenegro)",Armenia,2018,Exports & Imports,52,14,1.35,0.33,-116878.34,4409.4,121287.74,0.47,0.02,12.02,1.01,48,97.92,0,2.08,0,30,1,18.58,121197.5,0,12.02,1.01,48,97.92,0,2.08,0,30,1,18.58,121197.5,0,
"Serbia, FR(Serbia/Montenegro)",Antigua and Barbuda,2018,Exports & Imports,,5,,0.12,,,3.41,0,,5.4,9.45,20,100,0,0,0,20,1,0,3.41,0,5.4,9.45,20,100,0,0,0,20,1,0,3.41,0,
"Serbia, FR(Serbia/Montenegro)",Australia,2018,Exports & Imports,380,437,9.88,10.15,7496.26,13625.75,6129.49,0.02,0.07,7.71,3.98,1189,99.92,0.08,0,0,30,0,0,5679.07,1.12,7.71,3.98,1189,99.92,0.08,0,0,30,0,0,5679.07,1.12,
"Serbia, FR(Serbia/Montenegro)",Austria,2018,Exports & Imports,1162,1960,30.22,45.53,-198893.59,521463.94,720357.53,2.78,2.71,0.15,0.15,4471,4.63,95.37,0,0,30,0,0,35338.23,526912.39,7.46,7,4471,99.73,0.27,0,0,30,0,0,562212.83,37.78,1
"Serbia, FR(Serbia/Montenegro)",Azerbaijan,2018,Exports & Imports,75,12,1.95,0.28,5529.15,5735.05,205.9,0,0.03,7.45,3.74,38,100,0,0,0,20,1,0,200.24,0,7.45,3.74,38,100,0,0,0,20,1,0,200.24,0,
"Serbia, FR(Serbia/Montenegro)",Burundi,2018,Exports & Imports,,2,,0.05,,,76.67,0,,2.5,3,5,100,0,0,0,3,1,0,76.67,0,2.5,3,5,100,0,0,0,3,1,0,76.67,0,
"Serbia, FR(Serbia/Montenegro)",Belgium,2018,Exports & Imports,622,1791,16.18,41.6,-279147.82,204571.47,483719.29,1.87,1.06,0.14,0.3,4115,3.99,96.01,0,0,30,0,0,23404.47,319653.26,6.98,6.74,4115,99.83,0.17,0,0,30,0,0,339847.03,3210.69,1
"Serbia, FR(Serbia/Montenegro)",Burkina Faso,2018,Exports & Imports,9,4,0.23,0.09,5155.27,5174.18,18.91,0,0.03,10.35,4.01,21,100,0,0,0,20,1,0,18.91,0,10.35,4.01,21,100,0,0,0,20,1,0,18.91,0,
"Serbia, FR(Serbia/Montenegro)",Bangladesh,2018,Exports & Imports,94,269,2.44,6.25,-68149.42,9808.61,77958.03,0.3,0.05,17.59,20.8,544,100,0,0,0,30,1,0,77368.41,0,17.59,20.8,544,100,0,0,0,30,1,0,77368.41,0,
"Serbia, FR(Serbia/Montenegro)",Bulgaria,2018,Exports & Imports,1308,1621,34.02,37.65,214203.68,724901.03,510697.35,1.97,3.77,0.16,0.21,3785,4.17,95.8,0.03,0,30,0,107.7,56759.52,412396.67,8.49,6.34,3785,99.66,0.32,0.03,0,30,0,107.7,450404.04,18752.15,1
"Serbia, FR(Serbia/Montenegro)",Bahrain,2018,Exports & Imports,33,15,0.86,0.35,-62.5,724.83,787.33,0,0,6.86,5.06,41,100,0,0,0,22,1,0,787.04,0,6.86,5.06,41,100,0,0,0,22,1,0,787.04,0,
