Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Slovak Republic,Aruba,2018,Exports & Imports,2,11,0.05,0.25,-202.4,12.85,215.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Afghanistan,2018,Exports & Imports,26,47,0.67,1.07,3597.3,3661.67,64.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Angola,2018,Exports & Imports,23,3,0.59,0.07,1392.66,1716.75,324.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Anguila,2018,Exports & Imports,1,2,0.03,0.05,-138.94,0.23,139.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Albania,2018,Exports & Imports,255,149,6.54,3.38,20538.36,27039.08,6500.73,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Andorra,2018,Exports & Imports,12,55,0.31,1.25,-222.73,125.26,347.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,United Arab Emirates,2018,Exports & Imports,468,210,11.99,4.77,138984.62,170165.95,31181.33,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Argentina,2018,Exports & Imports,163,148,4.18,3.36,-20554.95,27444.08,47999.03,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Armenia,2018,Exports & Imports,129,41,3.31,0.93,2937.5,4024.77,1087.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,American Samoa,2018,Exports & Imports,,28,,0.64,,,73.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
