Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Slovenia,Aruba,2018,Exports & Imports,20,12,0.49,0.27,60.15,219.09,158.94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Afghanistan,2018,Exports & Imports,11,36,0.27,0.82,550.1,579.81,29.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Angola,2018,Exports & Imports,6,4,0.15,0.09,149.62,150.63,1.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Albania,2018,Exports & Imports,926,239,22.77,5.46,42407.89,51767.26,9359.37,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Andorra,2018,Exports & Imports,11,25,0.27,0.57,-6.89,73.6,80.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,United Arab Emirates,2018,Exports & Imports,560,252,13.77,5.76,90866.44,96417.91,5551.47,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Argentina,2018,Exports & Imports,194,206,4.77,4.71,-23473.24,22996.33,46469.58,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Armenia,2018,Exports & Imports,186,21,4.57,0.48,10144.96,11067.34,922.38,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,American Samoa,2018,Exports & Imports,,10,,0.23,,,2.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Antarctica,2018,Exports & Imports,,6,,0.14,,,74.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Fr. So. Ant. Tr,2018,Exports & Imports,17,3,0.42,0.07,29.17,31.05,1.87,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Antigua and Barbuda,2018,Exports & Imports,7,4,0.17,0.09,9.23,10.58,1.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Australia,2018,Exports & Imports,637,581,15.67,13.28,126871.4,141015.04,14143.64,0.04,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Austria,2018,Exports & Imports,2632,3209,64.73,73.33,-180084.41,2748707.86,2928792.27,8.08,7.54,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Azerbaijan,2018,Exports & Imports,194,14,4.77,0.32,17623.1,17851.7,228.6,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Burundi,2018,Exports & Imports,1,3,0.02,0.07,301.61,386.05,84.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Belgium,2018,Exports & Imports,1204,2140,29.61,48.9,-132606.6,412530.05,545136.64,1.5,1.13,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Benin,2018,Exports & Imports,15,14,0.37,0.32,-17.75,126.42,144.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Burkina Faso,2018,Exports & Imports,14,14,0.34,0.32,63.82,285.61,221.79,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
