Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Sweden,Aruba,2018,Exports & Imports,46,13,1.06,0.29,2307.4,2315.92,8.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Afghanistan,2018,Exports & Imports,117,62,2.7,1.39,8651,8912.48,261.48,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Angola,2018,Exports & Imports,219,21,5.06,0.47,10733.57,10834.62,101.05,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Anguila,2018,Exports & Imports,12,3,0.28,0.07,107.97,134.79,26.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Albania,2018,Exports & Imports,299,56,6.91,1.26,-13311.56,7396.54,20708.1,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Andorra,2018,Exports & Imports,135,11,3.12,0.25,1745.15,1971.18,226.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,United Arab Emirates,2018,Exports & Imports,1524,971,35.23,21.8,505324.67,600521.57,95196.89,0.06,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Argentina,2018,Exports & Imports,799,253,18.47,5.68,112563.91,199375.64,86811.73,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Armenia,2018,Exports & Imports,258,80,5.96,1.8,23766.11,24429.46,663.36,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,American Samoa,2018,Exports & Imports,5,2,0.12,0.04,22.33,30.5,8.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Fr. So. Ant. Tr,2018,Exports & Imports,3,3,0.07,0.07,159.57,368.57,209,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Antigua and Barbuda,2018,Exports & Imports,53,9,1.23,0.2,2968.22,2984.33,16.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Australia,2018,Exports & Imports,1904,1236,44.01,27.74,1510229.41,1865029.66,354800.25,0.21,1.12,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Austria,2018,Exports & Imports,1857,1802,42.93,40.45,-516894.93,1513617.69,2030512.62,1.19,0.91,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Azerbaijan,2018,Exports & Imports,324,42,7.49,0.94,23376.38,24167.48,791.1,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Burundi,2018,Exports & Imports,38,6,0.88,0.13,-3692.93,353.49,4046.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Belgium,2018,Exports & Imports,2156,2766,49.84,62.09,-652455.98,6544303.63,7196759.61,4.23,3.94,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Benin,2018,Exports & Imports,124,5,2.87,0.11,6979.06,6979.86,0.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Burkina Faso,2018,Exports & Imports,196,34,4.53,0.76,23339.69,23590.23,250.54,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bangladesh,2018,Exports & Imports,323,412,7.47,9.25,-488264.14,48190.86,536454.99,0.32,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bulgaria,2018,Exports & Imports,1225,540,28.32,12.12,-68369.06,177110.38,245479.44,0.14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bahrain,2018,Exports & Imports,596,236,13.78,5.3,35417.94,36543.36,1125.43,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"Bahamas, The",2018,Exports & Imports,91,14,2.1,0.31,2033.95,3655.51,1621.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bosnia and Herzegovina,2018,Exports & Imports,613,363,14.17,8.15,-29057.96,30124.75,59182.71,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Saint Barthélemy,2018,Exports & Imports,14,2,0.32,0.04,32.11,32.57,0.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Belarus,2018,Exports & Imports,489,156,11.3,3.5,39905.47,77772.31,37866.84,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Belize,2018,Exports & Imports,22,11,0.51,0.25,288.47,393.54,105.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bermuda,2018,Exports & Imports,76,30,1.76,0.67,-2766.08,746.69,3512.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bolivia,2018,Exports & Imports,341,52,7.88,1.17,106228.23,107384.27,1156.04,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Brazil,2018,Exports & Imports,1239,792,28.64,17.78,255294.6,888078.25,632783.64,0.37,0.54,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Barbados,2018,Exports & Imports,83,9,1.92,0.2,10156.25,10513.36,357.11,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Brunei,2018,Exports & Imports,171,9,3.95,0.2,3248.04,3275.32,27.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bhutan,2018,Exports & Imports,31,1,0.72,0.02,770.06,801.82,31.76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Bunkers,2018,Exports & Imports,386,3,8.92,0.07,940630.1,940693.29,63.18,0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Botswana,2018,Exports & Imports,75,10,1.73,0.22,1144.15,1158.19,14.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Central African Republic,2018,Exports & Imports,46,4,1.06,0.09,3206.72,3207.52,0.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
