Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Ukraine,Afghanistan,2018,Exports & Imports,97,33,2.62,0.77,6811.43,7147.86,336.43,0,0.02,3.27,2.28,109,45.87,51.38,2.75,0,15,0,0.39,67.74,268.69,3.27,2.28,109,45.87,51.38,2.75,0,15,0,0.39,67.74,268.69,
Ukraine,Angola,2018,Exports & Imports,71,1,1.92,0.02,23934.3,23954.4,20.1,0,0.05,0,0,3,0,100,0,0,0,0,0,0,20.1,0,0,3,0,100,0,0,0,0,0,0,20.1,
Ukraine,Anguila,2018,Exports & Imports,,1,,0.02,,,16.92,0,,10,10,4,100,0,0,0,10,10,0,16.92,0,10,10,4,100,0,0,0,10,10,0,16.92,0,
Ukraine,Albania,2018,Exports & Imports,105,102,2.83,2.38,20275.93,23908.49,3632.56,0.01,0.05,9.67,3.87,268,85.82,14.18,0,0,20,0,0,1344.57,2287.47,9.67,3.87,268,85.82,14.18,0,0,20,0,0,1344.57,2287.47,
Ukraine,Andorra,2018,Exports & Imports,1,2,0.03,0.05,-0.99,10.94,11.94,0,0,1.5,2.95,5,40,60,0,0,10,0,0,11.72,0.22,1.5,2.95,5,40,60,0,0,10,0,0,11.72,0.22,
Ukraine,United Arab Emirates,2018,Exports & Imports,752,469,20.29,10.92,406959.55,486154.74,79195.19,0.14,1.03,4.47,4.07,1416,55.16,44.63,0.21,0,25,0,119.83,47438.22,23154.76,4.47,4.07,1416,55.16,44.63,0.21,0,25,0,119.83,47438.22,23154.76,
Ukraine,Argentina,2018,Exports & Imports,81,263,2.19,6.13,-53326.02,9636.76,62962.78,0.11,0.02,3.52,1.42,949,46.68,47.31,0,6.01,50,0,0,28976.74,33979.99,3.52,1.42,949,46.68,47.31,0,6.01,50,0,0,28976.74,33979.99,
Ukraine,Armenia,2018,Exports & Imports,817,189,22.05,4.4,115613.74,136697.13,21083.39,0.04,0.29,0,0,791,0,100,0,0,0,0,0,0,14547.15,5.49,1.48,791,59.8,27.31,0.38,12.52,17,0,76.43,3408.82,11138.33,1
Ukraine,American Samoa,2018,Exports & Imports,,2,,0.05,,,0.22,0,,0,0,2,0,100,0,0,0,0,0,0,0.22,0,0,2,0,100,0,0,0,0,0,0,0.22,
Ukraine,Antarctica,2018,Exports & Imports,,1,,0.02,,,0.04,0,,1.25,1.25,4,25,75,0,0,5,0,0,0.04,0,1.25,1.25,4,25,75,0,0,5,0,0,0.04,0,
Ukraine,Antigua and Barbuda,2018,Exports & Imports,105,3,2.83,0.07,40.07,47.29,7.22,0,0,0.83,1.52,7,28.57,71.43,0,0,5,0,0,2.19,5.03,0.83,1.52,7,28.57,71.43,0,0,5,0,0,2.19,5.03,
Ukraine,Australia,2018,Exports & Imports,266,322,7.18,7.5,-23971.7,30033.61,54005.31,0.09,0.06,3.31,0.67,1087,48.67,45.54,0,5.8,20,0,0,9725.24,44269.38,3.31,0.67,1087,48.67,45.54,0,5.8,20,0,0,9725.24,44269.38,
Ukraine,Austria,2018,Exports & Imports,858,1642,23.15,38.25,-54692.49,553191.58,607884.07,1.06,1.17,0.82,0.44,4266,24.89,73.63,0,1.48,50,0,0,118335.85,482345.42,4.26,2.32,4266,58.27,40.15,0,1.57,50,0,0,264396.02,336285.25,1
Ukraine,Azerbaijan,2018,Exports & Imports,1345,139,36.29,3.24,-104638.72,360029.88,464668.6,0.81,0.76,0,0,645,0,100,0,0,0,0,0,0,459220.11,4.48,0.4,645,49.46,41.24,0.47,8.84,20,0,0.31,26748.56,432471.55,1
Ukraine,Burundi,2018,Exports & Imports,20,2,0.54,0.05,-424.22,267.86,692.08,0,0,1.25,0,4,25,75,0,0,5,0,0,0.02,692.06,1.25,0,4,25,75,0,0,5,0,0,0.02,692.06,
Ukraine,Belgium,2018,Exports & Imports,744,1751,20.08,40.79,49693.32,603521.01,553827.69,0.97,1.27,0.93,0.88,4759,26.81,71.11,0.06,2.02,50,0,477.92,146656.93,400389.81,4.67,3.17,4759,60.94,36.88,0.06,2.12,50,0,477.92,349576.62,197470.12,1
Ukraine,Benin,2018,Exports & Imports,18,2,0.49,0.05,11532.71,11552.63,19.92,0,0.02,3.33,3.48,7,71.43,28.57,0,0,10,0,0,19.92,0,3.33,3.48,7,71.43,28.57,0,0,10,0,0,19.92,0,
Ukraine,Burkina Faso,2018,Exports & Imports,31,3,0.84,0.07,11573.33,11576.08,2.74,0,0.02,8.95,6.01,24,95.83,4.17,0,0,15,0,0,2.74,0,8.95,6.01,24,95.83,4.17,0,0,15,0,0,2.74,0,
Ukraine,Bangladesh,2018,Exports & Imports,108,241,2.91,5.61,134614.31,218160.56,83546.25,0.15,0.46,10.16,11.09,517,88.97,11.03,0,0,20,0,0,79568.17,3978.08,10.16,11.09,517,88.97,11.03,0,0,20,0,0,79568.17,3978.08,
Ukraine,Bulgaria,2018,Exports & Imports,1072,1064,28.93,24.78,254440.28,513862.29,259422.01,0.45,1.09,0.55,0.59,2982,22.33,77.57,0.1,0,17.6,0,70.76,85044.37,155739.46,4.73,3.42,2982,60.76,39.13,0.1,0,20,0,70.76,163138.84,77645,1
Ukraine,Bahrain,2018,Exports & Imports,62,15,1.67,0.35,14062.04,14402.35,340.3,0,0.03,2.68,1.33,99,40.4,59.6,0,0,10,0,0,151.52,188.78,2.68,1.33,99,40.4,59.6,0,0,10,0,0,151.52,188.78,
