countrynm,country,latitude,longitude
Albania,ALB,41.19438518,19.91137835
Austria,AUT,47.7651937,14.63412388
Belarus,BLR,53.53438091,27.81100986
Belgium,BEL,50.84455986,4.437197067
Bosnia-Herzegovina,BIH,44.16265709,17.76117009
Bulgaria,BGR,42.75170671,25.08740596
Croatia,HRV,45.31764192,16.26294488
Cyprus,CYP,34.96678672,33.25716881
CzechRepublic,CZE,49.82178812,15.6132377
Denmark,DNK,55.85312691,10.86485192
Estonia,EST,58.95164739,25.56437765
Finland,FIN,61.72814402,25.0504258
France,FRA,47.12336932,2.680547852
Germany,DEU,50.84658124,9.686009268
Greece,GRC,38.67081741,23.35157655
Hungary,HUN,47.28879164,19.39251916
Iceland,ISL,64.34033306,-20.96036771
Ireland,IRL,53.11542562,-7.406976194
Italy,ITA,42.87889177,12.12922523
Latvia,LVA,56.83162953,24.50875799
Lithuania,LTU,55.22694602,23.88829682
Luxembourg,LUX,49.64426846,6.083620193
Macedonia,MKD,41.74789993,21.54833784
Malta,MLT,35.89894359,14.4576668
Netherlands,NLD,52.06976991,5.285648446
Norway,NOR,61.0898625,9.920198452
Poland,POL,51.71370608,19.30930699
Portugal,PRT,39.75489778,-9.158496251
RepublicofMoldova,MDA,47.16933046,28.60187296
Romania,ROM,45.6970646,25.29462863
Russia,RUS,53.7273452,54.04789858
Montenegro,MNE,42.4304,19.2594
Serbia,SRB,44.7866,20.4489
Slovakia,SVK,48.66574736,19.16412401
Slovenia,SVN,46.1671658,14.88616534
Spain,ESP,39.67457842,-3.28435823
Sweden,SWE,58.88844444,15.53557213
Switzerland,CHE,47.02258327,7.953027828
Ukraine,UKR,48.80799729,31.73257291
UnitedKingdom,GBR,52.73556771,-1.678986141
